FILENAME,STATUS
QF_RDL/sal/fischer3-mutex-20.smt2,RETURN PROOF
QF_RDL/sal/fischer9-mutex-1.smt2,RETURN PROOF
QF_RDL/sal/fischer6-mutex-8.smt2,RETURN PROOF
QF_RDL/sal/fischer9-mutex-3.smt2,RETURN PROOF
QF_RDL/sal/fischer6-mutex-5.smt2,RETURN PROOF
QF_RDL/sal/fischer6-mutex-1.smt2,RETURN PROOF
QF_RDL/sal/fischer6-mutex-10.smt2,RETURN PROOF
QF_RDL/sal/fischer9-mutex-10.smt2,RETURN PROOF
QF_RDL/sal/fischer3-mutex-17.smt2,RETURN PROOF
QF_RDL/sal/fischer9-mutex-6.smt2,RETURN PROOF
QF_RDL/sal/fischer9-mutex-18.smt2,UN-UNSAT
QF_RDL/sal/fischer9-mutex-2.smt2,RETURN PROOF
QF_RDL/sal/fischer9-mutex-20.smt2,UN-UNSAT
QF_RDL/sal/fischer6-mutex-13.smt2,RETURN PROOF
QF_RDL/sal/fischer3-mutex-7.smt2,RETURN PROOF
QF_RDL/sal/fischer3-mutex-11.smt2,RETURN PROOF
QF_RDL/sal/fischer9-mutex-4.smt2,RETURN PROOF
QF_RDL/sal/fischer6-mutex-15.smt2,NO PROOF
QF_RDL/sal/fischer6-mutex-11.smt2,RETURN PROOF
QF_RDL/sal/fischer6-mutex-12.smt2,RETURN PROOF
QF_RDL/sal/fischer9-mutex-11.smt2,NO PROOF
QF_RDL/sal/fischer9-mutex-9.smt2,RETURN PROOF
QF_RDL/sal/fischer3-mutex-14.smt2,RETURN PROOF
QF_RDL/sal/fischer3-mutex-3.smt2,RETURN PROOF
QF_RDL/sal/fischer3-mutex-2.smt2,RETURN PROOF
QF_RDL/sal/fischer3-mutex-13.smt2,RETURN PROOF
QF_RDL/sal/fischer6-mutex-2.smt2,RETURN PROOF
QF_RDL/sal/fischer3-mutex-6.smt2,RETURN PROOF
QF_RDL/sal/fischer9-mutex-12.smt2,RETURN PROOF
QF_RDL/sal/fischer6-mutex-19.smt2,UN-UNSAT
QF_RDL/sal/fischer3-mutex-1.smt2,RETURN PROOF
QF_RDL/sal/fischer6-mutex-14.smt2,RETURN PROOF
QF_RDL/sal/fischer9-mutex-5.smt2,RETURN PROOF
QF_RDL/sal/fischer9-mutex-19.smt2,UN-UNSAT
QF_RDL/sal/fischer6-mutex-9.smt2,RETURN PROOF
QF_RDL/sal/fischer9-mutex-8.smt2,RETURN PROOF
QF_RDL/sal/fischer6-mutex-18.smt2,NO PROOF
QF_RDL/sal/fischer6-mutex-16.smt2,NO PROOF
QF_RDL/sal/fischer6-mutex-20.smt2,UN-UNSAT
QF_RDL/sal/fischer3-mutex-16.smt2,RETURN PROOF
QF_RDL/sal/fischer3-mutex-19.smt2,RETURN PROOF
QF_RDL/sal/fischer9-mutex-13.smt2,NO PROOF
QF_RDL/sal/fischer6-mutex-6.smt2,RETURN PROOF
QF_RDL/sal/fischer3-mutex-12.smt2,RETURN PROOF
QF_RDL/sal/fischer6-mutex-4.smt2,RETURN PROOF
QF_RDL/sal/fischer9-mutex-14.smt2,NO PROOF
QF_RDL/sal/fischer3-mutex-18.smt2,RETURN PROOF
QF_RDL/sal/fischer3-mutex-9.smt2,RETURN PROOF
QF_RDL/sal/fischer3-mutex-10.smt2,RETURN PROOF
QF_RDL/sal/fischer6-mutex-3.smt2,RETURN PROOF
QF_RDL/sal/fischer6-mutex-17.smt2,NO PROOF
QF_RDL/sal/fischer9-mutex-16.smt2,UN-UNSAT
QF_RDL/sal/fischer3-mutex-4.smt2,RETURN PROOF
QF_RDL/sal/fischer9-mutex-17.smt2,UN-UNSAT
QF_RDL/sal/fischer6-mutex-7.smt2,RETURN PROOF
QF_RDL/sal/fischer9-mutex-7.smt2,RETURN PROOF
QF_RDL/sal/fischer3-mutex-5.smt2,RETURN PROOF
QF_RDL/sal/fischer9-mutex-15.smt2,NO PROOF
QF_RDL/sal/fischer3-mutex-15.smt2,RETURN PROOF
QF_RDL/sal/fischer3-mutex-8.smt2,RETURN PROOF
QF_RDL/scheduling/yn4_950.smt2,UN-UNSAT
QF_RDL/scheduling/abz5_1234.smt2,UN-UNSAT
QF_RDL/scheduling/abz6_1000.smt2,UN-UNSAT
QF_RDL/scheduling/abz5_1400.smt2,UN-UNSAT
QF_RDL/scheduling/swv12_2900.smt2,UN-UNSAT
QF_RDL/scheduling/yn3_750.smt2,RETURN PROOF
QF_RDL/scheduling/abz5_1300.smt2,UN-UNSAT
QF_RDL/scheduling/swv11_2983.smt2,UN-UNSAT
QF_RDL/scheduling/swv13_3104.smt2,UN-UNSAT
QF_RDL/scheduling/swv12_3050.smt2,UN-UNSAT
QF_RDL/scheduling/orb10_1000.smt2,UN-UNSAT
QF_RDL/scheduling/orb10_1100.smt2,UN-UNSAT
QF_RDL/scheduling/orb08_1000.smt2,UN-UNSAT
QF_RDL/scheduling/orb02_700.smt2,RETURN PROOF
QF_RDL/scheduling/swv11_2900.smt2,UN-UNSAT
QF_RDL/scheduling/orb09_1000.smt2,UN-UNSAT
QF_RDL/scheduling/yn2_910.smt2,UN-UNSAT
QF_RDL/scheduling/abz5_1000.smt2,RETURN PROOF
QF_RDL/scheduling/orb05_700.smt2,RETURN PROOF
QF_RDL/scheduling/orb02_1000.smt2,UN-UNSAT
QF_RDL/scheduling/orb03_950.smt2,RETURN PROOF
QF_RDL/scheduling/swv13_3200.smt2,UN-UNSAT
QF_RDL/scheduling/abz7_691.smt2,UN-UNSAT
QF_RDL/scheduling/orb05_800.smt2,RETURN PROOF
QF_RDL/scheduling/yn1_827.smt2,UN-UNSAT
QF_RDL/scheduling/yn2_750.smt2,RETURN PROOF
QF_RDL/scheduling/orb08_930.smt2,UN-UNSAT
QF_RDL/scheduling/orb04_1005.smt2,UN-UNSAT
QF_RDL/scheduling/orb06_1200.smt2,UN-UNSAT
QF_RDL/scheduling/yn3_894.smt2,UN-UNSAT
QF_RDL/scheduling/yn3_950.smt2,UN-UNSAT
QF_RDL/scheduling/yn4_969.smt2,UN-UNSAT
QF_RDL/scheduling/yn3_828.smt2,UN-UNSAT
QF_RDL/scheduling/abz6_943.smt2,UN-UNSAT
QF_RDL/scheduling/orb05_887.smt2,UN-UNSAT
QF_RDL/scheduling/orb10_900.smt2,RETURN PROOF
QF_RDL/scheduling/orb09_800.smt2,RETURN PROOF
QF_RDL/scheduling/abz7_700.smt2,UN-UNSAT
QF_RDL/scheduling/abz6_1100.smt2,UN-UNSAT
QF_RDL/scheduling/swv12_2972.smt2,UN-UNSAT
QF_RDL/scheduling/abz6_900.smt2,RETURN PROOF
QF_RDL/scheduling/orb03_1005.smt2,UN-UNSAT
QF_RDL/scheduling/orb07_430.smt2,UN-UNSAT
QF_RDL/scheduling/orb01_1059.smt2,UN-UNSAT
QF_RDL/scheduling/yn1_750.smt2,RETURN PROOF
QF_RDL/scheduling/orb07_250.smt2,RETURN PROOF
QF_RDL/scheduling/orb01_900.smt2,RETURN PROOF
QF_RDL/scheduling/orb05_900.smt2,UN-UNSAT
QF_RDL/scheduling/orb08_830.smt2,RETURN PROOF
QF_RDL/scheduling/orb07_330.smt2,RETURN PROOF
QF_RDL/scheduling/orb06_1010.smt2,UN-UNSAT
QF_RDL/scheduling/swv14_3000.smt2,UN-UNSAT
QF_RDL/scheduling/abz7_670.smt2,UN-UNSAT
QF_RDL/scheduling/orb08_888.smt2,RETURN PROOF
QF_RDL/scheduling/swv13_3150.smt2,UN-UNSAT
QF_RDL/scheduling/swv11_2992.smt2,UN-UNSAT
QF_RDL/scheduling/orb01_1100.smt2,UN-UNSAT
QF_RDL/scheduling/yn2_890.smt2,UN-UNSAT
QF_RDL/scheduling/orb07_397.smt2,UN-UNSAT
QF_RDL/scheduling/orb04_1100.smt2,UN-UNSAT
QF_RDL/scheduling/swv11_3050.smt2,UN-UNSAT
QF_RDL/scheduling/swv12_3004.smt2,UN-UNSAT
QF_RDL/scheduling/yn2_862.smt2,UN-UNSAT
QF_RDL/scheduling/orb02_888.smt2,UN-UNSAT
QF_RDL/scheduling/swv13_3000.smt2,UN-UNSAT
QF_RDL/scheduling/orb03_850.smt2,RETURN PROOF
QF_RDL/scheduling/yn1_850.smt2,UN-UNSAT
QF_RDL/scheduling/orb04_950.smt2,RETURN PROOF
QF_RDL/scheduling/swv14_2905.smt2,UN-UNSAT
QF_RDL/scheduling/yn4_1000.smt2,UN-UNSAT
QF_RDL/scheduling/orb09_900.smt2,RETURN PROOF
QF_RDL/scheduling/orb07_550.smt2,UN-UNSAT
QF_RDL/scheduling/abz7_600.smt2,UN-UNSAT
QF_RDL/scheduling/yn1_950.smt2,UN-UNSAT
QF_RDL/scheduling/yn1_887.smt2,UN-UNSAT
QF_RDL/scheduling/orb09_1100.smt2,UN-UNSAT
QF_RDL/scheduling/swv11_2988.smt2,UN-UNSAT
QF_RDL/scheduling/orb02_800.smt2,RETURN PROOF
QF_RDL/scheduling/orb06_900.smt2,RETURN PROOF
QF_RDL/scheduling/abz7_667.smt2,UN-UNSAT
QF_RDL/scheduling/swv12_2990.smt2,UN-UNSAT
QF_RDL/scheduling/swv14_2800.smt2,UN-UNSAT
QF_RDL/scheduling/swv14_2885.smt2,UN-UNSAT
QF_RDL/scheduling/yn4_850.smt2,UN-UNSAT
QF_RDL/scheduling/orb10_800.smt2,RETURN PROOF
QF_RDL/scheduling/orb04_850.smt2,RETURN PROOF
QF_RDL/scheduling/orb05_1000.smt2,UN-UNSAT
QF_RDL/scheduling/yn3_860.smt2,UN-UNSAT
QF_RDL/scheduling/abz6_800.smt2,RETURN PROOF
QF_RDL/scheduling/orb01_1200.smt2,UN-UNSAT
QF_RDL/scheduling/orb08_700.smt2,RETURN PROOF
QF_RDL/scheduling/orb04_1200.smt2,UN-UNSAT
QF_RDL/scheduling/yn2_950.smt2,UN-UNSAT
QF_RDL/scheduling/orb03_1100.smt2,UN-UNSAT
QF_RDL/scheduling/swv14_2895.smt2,UN-UNSAT
QF_RDL/scheduling/orb06_1000.smt2,NO PROOF
QF_RDL/scheduling/orb10_944.smt2,UN-UNSAT
QF_RDL/scheduling/orb09_934.smt2,UN-UNSAT
QF_RDL/scheduling/orb03_1200.smt2,UN-UNSAT
QF_RDL/scheduling/orb01_1000.smt2,RETURN PROOF
QF_RDL/scheduling/orb06_1100.smt2,UN-UNSAT
QF_RDL/scheduling/abz7_800.smt2,UN-UNSAT
QF_RDL/scheduling/yn4_919.smt2,UN-UNSAT
QF_RDL/scheduling/abz7_500.smt2,RETURN PROOF
QF_RDL/scheduling/abz5_1200.smt2,RETURN PROOF
QF_RDL/scheduling/orb02_900.smt2,UN-UNSAT
QF_RDL/skdmxa2/skdmxa-3x3-17.base.cvc.smt2,NO PROOF
QF_RDL/skdmxa2/skdmxa-3x3-11.base.cvc.smt2,RETURN PROOF
QF_RDL/skdmxa2/skdmxa-3x3-17.induction.cvc.smt2,UN-UNSAT
QF_RDL/skdmxa2/skdmxa-3x3-5.induction.cvc.smt2,UN-UNSAT
QF_RDL/skdmxa2/skdmxa-3x3-7.base.cvc.smt2,RETURN PROOF
QF_RDL/skdmxa2/skdmxa-3x3-11.induction.cvc.smt2,UN-UNSAT
QF_RDL/skdmxa2/skdmxa-3x3-13.base.cvc.smt2,NO PROOF
QF_RDL/skdmxa2/skdmxa-3x3-14.base.cvc.smt2,NO PROOF
QF_RDL/skdmxa2/skdmxa-3x3-5.base.cvc.smt2,RETURN PROOF
QF_RDL/skdmxa2/skdmxa-3x3-16.base.cvc.smt2,NO PROOF
QF_RDL/skdmxa2/skdmxa-3x3-20.base.cvc.smt2,NO PROOF
QF_RDL/skdmxa2/skdmxa-3x3-20.induction.cvc.smt2,UN-UNSAT
QF_RDL/skdmxa2/skdmxa-3x3-9.induction.cvc.smt2,UN-UNSAT
QF_RDL/skdmxa2/skdmxa-3x3-18.base.cvc.smt2,NO PROOF
QF_RDL/skdmxa2/skdmxa-3x3-8.base.cvc.smt2,RETURN PROOF
QF_RDL/skdmxa2/skdmxa-3x3-10.induction.cvc.smt2,UN-UNSAT
QF_RDL/skdmxa2/skdmxa-3x3-6.induction.cvc.smt2,UN-UNSAT
QF_RDL/skdmxa2/skdmxa-3x3-7.induction.cvc.smt2,UN-UNSAT
QF_RDL/skdmxa2/skdmxa-3x3-8.induction.cvc.smt2,UN-UNSAT
QF_RDL/skdmxa2/skdmxa-3x3-19.base.cvc.smt2,NO PROOF
QF_RDL/skdmxa2/skdmxa-3x3-12.induction.cvc.smt2,UN-UNSAT
QF_RDL/skdmxa2/skdmxa-3x3-14.induction.cvc.smt2,UN-UNSAT
QF_RDL/skdmxa2/skdmxa-3x3-10.base.cvc.smt2,RETURN PROOF
QF_RDL/skdmxa2/skdmxa-3x3-18.induction.cvc.smt2,UN-UNSAT
QF_RDL/skdmxa2/skdmxa-3x3-9.base.cvc.smt2,RETURN PROOF
QF_RDL/skdmxa2/skdmxa-3x3-19.induction.cvc.smt2,UN-UNSAT
QF_RDL/skdmxa2/skdmxa-3x3-6.base.cvc.smt2,RETURN PROOF
QF_RDL/skdmxa2/skdmxa-3x3-12.base.cvc.smt2,RETURN PROOF
QF_RDL/skdmxa2/skdmxa-3x3-15.induction.cvc.smt2,UN-UNSAT
QF_RDL/skdmxa2/skdmxa-3x3-13.induction.cvc.smt2,UN-UNSAT
QF_RDL/skdmxa2/skdmxa-3x3-16.induction.cvc.smt2,UN-UNSAT
QF_RDL/skdmxa2/skdmxa-3x3-15.base.cvc.smt2,NO PROOF
QF_RDL/check/bignum_rdl2.smt2,RETURN PROOF
QF_RDL/check/bignum_rdl1.smt2,UN-UNSAT
QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking15.smt2,UN-UNSAT
QF_RDL/SMT-Temporal-Planning-Benchmarks/tms-2-3-light-30.smt2,UN-UNSAT
QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking21.smt2,UN-UNSAT
QF_RDL/SMT-Temporal-Planning-Benchmarks/tms-2-3-light-90.smt2,UN-UNSAT
QF_RDL/SMT-Temporal-Planning-Benchmarks/tms-2-3-light-04.smt2,UN-UNSAT
QF_RDL/SMT-Temporal-Planning-Benchmarks/tms-2-3-light-20.smt2,UN-UNSAT
QF_RDL/SMT-Temporal-Planning-Benchmarks/tms-2-3-light-06.smt2,UN-UNSAT
QF_RDL/SMT-Temporal-Planning-Benchmarks/tms-2-3-light-07.smt2,UN-UNSAT
QF_RDL/SMT-Temporal-Planning-Benchmarks/tms-2-3-light-05.smt2,UN-UNSAT
QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking22.smt2,UN-UNSAT
QF_RDL/SMT-Temporal-Planning-Benchmarks/tms-2-3-light-40.smt2,UN-UNSAT
QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking11.smt2,UN-UNSAT
