filename,Solve,Parse,Eval,Steps
../smt-lib/QF_UF/20170829-Rodin/smt6739662804326223632.smt2,0.066,0.328,Eval: 0.276.,16
../smt-lib/QF_UF/20170829-Rodin/smt7452810379672948208.smt2,0.066,0.255,Eval: 0.284.,16
../smt-lib/QF_UF/20170829-Rodin/smt4057580428149921510.smt2,0.070,0.354,Eval: 0.286.,18
../smt-lib/QF_UF/20170829-Rodin/smt4480564921249140261.smt2,sat,,,
../smt-lib/QF_UF/20170829-Rodin/smt7665342989239969743.smt2,0.064,0.323,Eval: 0.288.,9
../smt-lib/QF_UF/20170829-Rodin/smt1300175744189082250.smt2,0.062,0.225,Eval: 0.296.,3
../smt-lib/QF_UF/20170829-Rodin/smt834303034702425531.smt2,sat,,,
../smt-lib/QF_UF/20170829-Rodin/smt3166111930664231918.smt2,0.053,0.247,Eval: 0.279.,8
../smt-lib/QF_UF/20170829-Rodin/smt7632939434921259240.smt2,0.056,0.249,Eval: 0.262.,13
../smt-lib/QF_UF/20170829-Rodin/smt6109211130895037835.smt2,sat,,,
../smt-lib/QF_UF/20170829-Rodin/smt5832055835117075398.smt2,0.059,0.241,Eval: 0.337.,3
../smt-lib/QF_UF/20170829-Rodin/smt5801285361354912971.smt2,0.059,0.231,Eval: 0.268.,16
../smt-lib/QF_UF/20170829-Rodin/smt5144869669709662262.smt2,0.053,0.231,Eval: 0.339.,11
../smt-lib/QF_UF/20170829-Rodin/smt2061505268723161891.smt2,0.064,0.266,Eval: 0.255.,16
../smt-lib/QF_UF/20170829-Rodin/smt2325451563592377472.smt2,0.060,0.284,Eval: 0.255.,28
../smt-lib/QF_UF/20170829-Rodin/smt3534838651727683253.smt2,0.044,0.256,Eval: 0.256.,10
../smt-lib/QF_UF/20170829-Rodin/smt862177804180920815.smt2,sat,,,
../smt-lib/QF_UF/20170829-Rodin/smt2598599073465845145.smt2,0.052,0.325,Eval: 0.305.,13
../smt-lib/QF_UF/20170829-Rodin/smt3809952321495040629.smt2,sat,,,
../smt-lib/QF_UF/20170829-Rodin/smt2831655880469397696.smt2,sat,,,
../smt-lib/QF_UF/20170829-Rodin/smt4027072204816894856.smt2,sat,,,
../smt-lib/QF_UF/20170829-Rodin/smt3248576982810563470.smt2,sat,,,
../smt-lib/QF_UF/20170829-Rodin/smt2080745738819601301.smt2,0.058,0.258,Eval: 0.258.,10
../smt-lib/QF_UF/20170829-Rodin/smt3232867547761696161.smt2,sat,,,
../smt-lib/QF_UF/20170829-Rodin/smt3508124013603727984.smt2,sat,,,
../smt-lib/QF_UF/20170829-Rodin/smt3910673230463462036.smt2,sat,,,
../smt-lib/QF_UF/20170829-Rodin/smt1468783596909311386.smt2,0.059,0.253,Eval: 0.255.,7
../smt-lib/QF_UF/20170829-Rodin/smt2970577543992530805.smt2,0.056,0.283,Eval: 0.259.,27
../smt-lib/QF_UF/20170829-Rodin/smt6377531776677660648.smt2,sat,,,
../smt-lib/QF_UF/20170829-Rodin/smt8855268942650190404.smt2,sat,,,
../smt-lib/QF_UF/20170829-Rodin/smt249825283571301584.smt2,0.058,0.262,Eval: 0.261.,10
../smt-lib/QF_UF/20170829-Rodin/smt4458073420585573738.smt2,0.060,0.247,Eval: 0.259.,10
../smt-lib/QF_UF/20170829-Rodin/smt4241633917533372498.smt2,sat,,,
../smt-lib/QF_UF/20170829-Rodin/smt5490086717622526120.smt2,0.054,0.251,Eval: 0.239.,18
2.026
