filename,Solve,Parse,Eval,Steps
../smt-lib/QF_UF/PEQ/PEQ019_size6.smt2,NO PROOF,,,
../smt-lib/QF_UF/PEQ/PEQ004_size8.smt2,NO PROOF,,,
../smt-lib/QF_UF/PEQ/PEQ011_size7.smt2,NO PROOF,,,
../smt-lib/QF_UF/PEQ/PEQ019_size5.smt2,0.895,9.479,Eval: 14.556.,53515
../smt-lib/QF_UF/PEQ/PEQ002_size8.smt2,NO PROOF,,,
../smt-lib/QF_UF/PEQ/PEQ013_size8.smt2,timeout,,,
../smt-lib/QF_UF/PEQ/PEQ002_size5.smt2,2.617,10.327,Eval: 19.388.,107972
../smt-lib/QF_UF/PEQ/PEQ003_size7.smt2,3.722,11.523,Eval: 14.348.,113327
../smt-lib/QF_UF/PEQ/PEQ002_size6.smt2,NO PROOF,,,
../smt-lib/QF_UF/PEQ/PEQ011_size8.smt2,NO PROOF,,,
../smt-lib/QF_UF/PEQ/PEQ013_size6.smt2,NO PROOF,,,
../smt-lib/QF_UF/PEQ/PEQ016_size7.smt2,NO PROOF,,,
../smt-lib/QF_UF/PEQ/PEQ012_size6.smt2,NO PROOF,,,
../smt-lib/QF_UF/PEQ/PEQ002_size7.smt2,NO PROOF,,,
../smt-lib/QF_UF/PEQ/PEQ010_size8.smt2,NO PROOF,,,
../smt-lib/QF_UF/PEQ/PEQ012_size4.smt2,2.081,14.058,Eval: 16.354.,115492
../smt-lib/QF_UF/PEQ/PEQ010_size6.smt2,0.875,5.709,Eval: 7.876.,18711
../smt-lib/QF_UF/PEQ/PEQ003_size8.smt2,NO PROOF,,,
../smt-lib/QF_UF/PEQ/PEQ016_size4.smt2,2.325,14.424,Eval: 19.934.,106950
../smt-lib/QF_UF/PEQ/PEQ018_size7.smt2,timeout,,,
../smt-lib/QF_UF/PEQ/PEQ004_size7.smt2,0.399,11.797,Eval: 28.779.,11923
../smt-lib/QF_UF/PEQ/PEQ010_size7.smt2,4.032,12.520,Eval: 12.759.,64113
../smt-lib/QF_UF/PEQ/PEQ014_size8.smt2,1.858,13.671,Eval: 17.494.,40124
../smt-lib/QF_UF/PEQ/PEQ018_size4.smt2,0.494,3.931,Eval: 7.756.,38123
../smt-lib/QF_UF/PEQ/PEQ020_size5.smt2,1.243,8.674,Eval: 10.377.,70506
../smt-lib/QF_UF/PEQ/PEQ012_size5.smt2,NO PROOF,,,
../smt-lib/QF_UF/PEQ/PEQ014_size11.smt2,timeout,,,
../smt-lib/QF_UF/PEQ/PEQ011_size5.smt2,0.791,9.459,Eval: 15.420.,46355
../smt-lib/QF_UF/PEQ/PEQ020_size7.smt2,NO PROOF,,,
../smt-lib/QF_UF/PEQ/PEQ018_size5.smt2,7.401,21.268,Eval: 25.845.,362669
../smt-lib/QF_UF/PEQ/PEQ016_size5.smt2,NO PROOF,,,
../smt-lib/QF_UF/PEQ/PEQ014_size9.smt2,timeout,,,
../smt-lib/QF_UF/PEQ/PEQ004_size9.smt2,1.844,31.246,Eval: 46.654.,24814
../smt-lib/QF_UF/PEQ/PEQ011_size6.smt2,NO PROOF,,,
../smt-lib/QF_UF/PEQ/PEQ019_size4.smt2,0.248,2.821,Eval: 8.766.,13282
../smt-lib/QF_UF/PEQ/PEQ010_size5.smt2,0.341,5.207,Eval: 6.974.,17624
../smt-lib/QF_UF/PEQ/PEQ014_size10.smt2,timeout,,,
../smt-lib/QF_UF/PEQ/PEQ018_size6.smt2,timeout,,,
../smt-lib/QF_UF/PEQ/PEQ003_size10.smt2,timeout,,,
../smt-lib/QF_UF/PEQ/PEQ003_size9.smt2,NO PROOF,,,
../smt-lib/QF_UF/PEQ/PEQ004_size6.smt2,0.861,7.978,Eval: 12.398.,49941
../smt-lib/QF_UF/PEQ/PEQ012_size3.smt2,0.215,2.840,Eval: 7.415.,9542
../smt-lib/QF_UF/PEQ/PEQ013_size5.smt2,1.105,7.642,Eval: 17.085.,40436
../smt-lib/QF_UF/PEQ/PEQ020_size6.smt2,NO PROOF,,,
../smt-lib/QF_UF/PEQ/PEQ016_size6.smt2,NO PROOF,,,
../smt-lib/QF_UF/PEQ/PEQ013_size7.smt2,NO PROOF,,,
../smt-lib/QF_UF/PEQ/PEQ019_size7.smt2,NO PROOF,,,
83.892
