filename,Solve,Parse,Eval,Steps
../smt-lib/QF_UF/eq_diamond/eq_diamond28.smt2,NO PROOF,,,
../smt-lib/QF_UF/eq_diamond/eq_diamond71.smt2,NO PROOF,,,
../smt-lib/QF_UF/eq_diamond/eq_diamond27.smt2,NO PROOF,,,
../smt-lib/QF_UF/eq_diamond/eq_diamond36.smt2,NO PROOF,,,
../smt-lib/QF_UF/eq_diamond/eq_diamond63.smt2,NO PROOF,,,
../smt-lib/QF_UF/eq_diamond/eq_diamond44.smt2,NO PROOF,,,
../smt-lib/QF_UF/eq_diamond/eq_diamond58.smt2,NO PROOF,,,
../smt-lib/QF_UF/eq_diamond/eq_diamond48.smt2,NO PROOF,,,
../smt-lib/QF_UF/eq_diamond/eq_diamond20.smt2,NO PROOF,,,
../smt-lib/QF_UF/eq_diamond/eq_diamond16.smt2,2.733,15.552,Eval: 12.584.,98791
../smt-lib/QF_UF/eq_diamond/eq_diamond88.smt2,NO PROOF,,,
../smt-lib/QF_UF/eq_diamond/eq_diamond23.smt2,NO PROOF,,,
../smt-lib/QF_UF/eq_diamond/eq_diamond96.smt2,NO PROOF,,,
../smt-lib/QF_UF/eq_diamond/eq_diamond25.smt2,NO PROOF,,,
../smt-lib/QF_UF/eq_diamond/eq_diamond70.smt2,NO PROOF,,,
../smt-lib/QF_UF/eq_diamond/eq_diamond49.smt2,NO PROOF,,,
../smt-lib/QF_UF/eq_diamond/eq_diamond80.smt2,NO PROOF,,,
../smt-lib/QF_UF/eq_diamond/eq_diamond29.smt2,NO PROOF,,,
../smt-lib/QF_UF/eq_diamond/eq_diamond14.smt2,0.832,5.546,Eval: 6.652.,24846
../smt-lib/QF_UF/eq_diamond/eq_diamond85.smt2,NO PROOF,,,
../smt-lib/QF_UF/eq_diamond/eq_diamond3.smt2,0.085,0.640,Eval: 0.287.,31
../smt-lib/QF_UF/eq_diamond/eq_diamond92.smt2,NO PROOF,,,
../smt-lib/QF_UF/eq_diamond/eq_diamond73.smt2,NO PROOF,,,
../smt-lib/QF_UF/eq_diamond/eq_diamond2.smt2,0.065,0.605,Eval: 0.284.,16
../smt-lib/QF_UF/eq_diamond/eq_diamond33.smt2,NO PROOF,,,
../smt-lib/QF_UF/eq_diamond/eq_diamond8.smt2,0.082,1.023,Eval: 0.935.,472
../smt-lib/QF_UF/eq_diamond/eq_diamond87.smt2,NO PROOF,,,
../smt-lib/QF_UF/eq_diamond/eq_diamond72.smt2,NO PROOF,,,
../smt-lib/QF_UF/eq_diamond/eq_diamond64.smt2,NO PROOF,,,
../smt-lib/QF_UF/eq_diamond/eq_diamond75.smt2,NO PROOF,,,
../smt-lib/QF_UF/eq_diamond/eq_diamond42.smt2,NO PROOF,,,
../smt-lib/QF_UF/eq_diamond/eq_diamond39.smt2,NO PROOF,,,
../smt-lib/QF_UF/eq_diamond/eq_diamond65.smt2,NO PROOF,,,
../smt-lib/QF_UF/eq_diamond/eq_diamond7.smt2,0.085,0.848,Eval: 0.531.,260
