filename,Solve,Parse,Eval,Steps
../smt-lib/UF/misc/set18.smt2,0.234,0.776,Eval: 0.429.,187
../smt-lib/UF/misc/set14.smt2,timeout,,,
../smt-lib/UF/misc/list1.smt2,0.223,0.750,Eval: 0.550.,138
../smt-lib/UF/misc/set20.smt2,0.245,0.961,Eval: 0.574.,339
../smt-lib/UF/misc/set15.smt2,0.244,0.693,Eval: 0.393.,139
../smt-lib/UF/misc/set4.smt2,0.230,0.418,Eval: 0.530.,7
../smt-lib/UF/misc/set11.smt2,0.243,0.685,Eval: 0.426.,133
../smt-lib/UF/misc/set19.smt2,timeout,,,
../smt-lib/UF/misc/set8.smt2,0.242,0.846,Eval: 0.513.,231
../smt-lib/UF/misc/set13.smt2,0.240,0.917,Eval: 0.490.,269
../smt-lib/UF/misc/set9.smt2,timeout,,,
../smt-lib/UF/misc/set12.smt2,0.235,0.844,Eval: 0.512.,269
../smt-lib/UF/misc/set10.smt2,0.241,0.789,Eval: 0.460.,185
../smt-lib/UF/misc/set16.smt2,unknown,,,
../smt-lib/UF/misc/set17.smt2,0.242,1.104,Eval: 0.673.,352
../smt-lib/UF/misc/list2.smt2,unknown,,,
../smt-lib/UF/misc/set6.smt2,0.250,1.034,Eval: 0.536.,361
../smt-lib/UF/misc/set5.smt2,0.232,0.666,Eval: 0.433.,133
../smt-lib/UF/misc/set7.smt2,0.246,0.841,Eval: 0.500.,231
../smt-lib/UF/sledgehammer/TypeSafe/uf.1412239.smt2,0.443,0.574,Eval: 0.452.,73
../smt-lib/UF/sledgehammer/TypeSafe/uf.618683.smt2,timeout,,,
../smt-lib/UF/sledgehammer/TypeSafe/smtlib.628981.smt2,0.482,0.674,Eval: 0.488.,184
../smt-lib/UF/sledgehammer/TypeSafe/smtlib.718018.smt2,timeout,,,
../smt-lib/UF/sledgehammer/TypeSafe/uf.1104973.smt2,0.276,0.306,Eval: 0.376.,3
../smt-lib/UF/sledgehammer/TypeSafe/uf.734961.smt2,timeout,,,
../smt-lib/UF/sledgehammer/TypeSafe/uf.804331.smt2,timeout,,,
../smt-lib/UF/sledgehammer/TypeSafe/uf.861309.smt2,timeout,,,
../smt-lib/UF/sledgehammer/TypeSafe/smtlib.663196.smt2,timeout,,,
../smt-lib/UF/sledgehammer/TypeSafe/uf.940325.smt2,timeout,,,
../smt-lib/UF/sledgehammer/TypeSafe/smtlib.1008947.smt2,timeout,,,
../smt-lib/UF/sledgehammer/TypeSafe/smtlib.1218506.smt2,timeout,,,
../smt-lib/UF/sledgehammer/TypeSafe/uf.1392725.smt2,timeout,,,
../smt-lib/UF/sledgehammer/TypeSafe/uf.1158000.smt2,0.289,0.326,Eval: 0.374.,3
../smt-lib/UF/sledgehammer/TypeSafe/uf.785086.smt2,timeout,,,
../smt-lib/UF/sledgehammer/TypeSafe/uf.851619.smt2,timeout,,,
../smt-lib/UF/sledgehammer/TypeSafe/uf.1447859.smt2,timeout,,,
../smt-lib/UF/sledgehammer/TypeSafe/smtlib.1315341.smt2,timeout,,,
../smt-lib/UF/sledgehammer/TypeSafe/smtlib.611434.smt2,0.372,0.670,Eval: 0.461.,122
../smt-lib/UF/sledgehammer/TypeSafe/smtlib.1281812.smt2,timeout,,,
../smt-lib/UF/sledgehammer/TypeSafe/smtlib.875247.smt2,timeout,,,
../smt-lib/UF/sledgehammer/TypeSafe/uf.1127919.smt2,timeout,,,
../smt-lib/UF/sledgehammer/TypeSafe/smtlib.680397.smt2,timeout,,,
../smt-lib/UF/sledgehammer/TypeSafe/smtlib.1246629.smt2,timeout,,,
../smt-lib/UF/sledgehammer/TypeSafe/smtlib.688516.smt2,0.303,0.330,Eval: 0.325.,3
../smt-lib/UF/sledgehammer/TypeSafe/uf.822026.smt2,timeout,,,
../smt-lib/UF/sledgehammer/TypeSafe/smtlib.1481794.smt2,timeout,,,
../smt-lib/UF/sledgehammer/TypeSafe/uf.958290.smt2,0.375,0.539,Eval: 0.436.,73
../smt-lib/UF/sledgehammer/TypeSafe/uf.748408.smt2,timeout,,,
../smt-lib/UF/sledgehammer/TypeSafe/smtlib.770760.smt2,timeout,,,
../smt-lib/UF/sledgehammer/TypeSafe/uf.747383.smt2,timeout,,,
../smt-lib/UF/sledgehammer/TypeSafe/smtlib.1434920.smt2,timeout,,,
../smt-lib/UF/sledgehammer/TypeSafe/uf.769223.smt2,timeout,,,
../smt-lib/UF/sledgehammer/TypeSafe/smtlib.1266492.smt2,timeout,,,
../smt-lib/UF/sledgehammer/TypeSafe/smtlib.608053.smt2,0.386,0.393,Eval: 0.398.,62
../smt-lib/UF/sledgehammer/TypeSafe/uf.794974.smt2,timeout,,,
../smt-lib/UF/sledgehammer/TypeSafe/smtlib.1024006.smt2,timeout,,,
../smt-lib/UF/sledgehammer/TypeSafe/uf.963717.smt2,timeout,,,
../smt-lib/UF/sledgehammer/TypeSafe/uf.649308.smt2,timeout,,,
../smt-lib/UF/sledgehammer/TypeSafe/uf.739562.smt2,timeout,,,
../smt-lib/UF/sledgehammer/TypeSafe/uf.1143570.smt2,timeout,,,
../smt-lib/UF/sledgehammer/TypeSafe/smtlib.1291795.smt2,timeout,,,
../smt-lib/UF/sledgehammer/TypeSafe/uf.1087133.smt2,0.390,0.622,Eval: 0.468.,118
../smt-lib/UF/sledgehammer/TypeSafe/uf.729392.smt2,timeout,,,
../smt-lib/UF/sledgehammer/TypeSafe/smtlib.1112475.smt2,timeout,,,
../smt-lib/UF/sledgehammer/TypeSafe/smtlib.1361036.smt2,timeout,,,
../smt-lib/UF/sledgehammer/TypeSafe/uf.867117.smt2,timeout,,,
../smt-lib/UF/sledgehammer/TypeSafe/smtlib.1425919.smt2,NO PROOF,,,
../smt-lib/UF/sledgehammer/TypeSafe/uf.1120710.smt2,0.361,0.809,Eval: 0.596.,177
../smt-lib/UF/sledgehammer/TypeSafe/uf.719655.smt2,timeout,,,
../smt-lib/UF/sledgehammer/TypeSafe/smtlib.1331192.smt2,timeout,,,
../smt-lib/UF/sledgehammer/TypeSafe/uf.739802.smt2,timeout,,,
../smt-lib/UF/sledgehammer/TypeSafe/uf.1029517.smt2,0.385,1.172,Eval: 0.703.,457
../smt-lib/UF/sledgehammer/TypeSafe/smtlib.1449645.smt2,timeout,,,
../smt-lib/UF/sledgehammer/TypeSafe/smtlib.1305552.smt2,0.377,1.272,Eval: 0.832.,533
../smt-lib/UF/sledgehammer/TypeSafe/uf.859724.smt2,timeout,,,
../smt-lib/UF/sledgehammer/TypeSafe/smtlib.755868.smt2,timeout,,,
