filename,Solve,Parse,ProofTerm,Steps
../smt-lib/AUFLIA/misc/set1.smt2,0.288,1.154,Proofterm: 2.403,538
../smt-lib/AUFLIA/misc/set3.smt2,NO PROOF (veriT),,,
../smt-lib/AUFLIA/misc/set2.smt2,UNSAT checking is timeout! (veriT),,,
../smt-lib/AUFLIA/misc/arr2.smt2,UNSAT checking is timeout! (veriT),,,
../smt-lib/AUFLIA/20170829-Rodin/smt1084163731047178755.smt2,63.534,0.897,Proofterm: 0.754,208
../smt-lib/AUFLIA/20170829-Rodin/smt9125501811417761215.smt2,0.058,1.238,Proofterm: 2.535,778
../smt-lib/AUFLIA/20170829-Rodin/smt8973202567741356819.smt2,unknown,,,
../smt-lib/AUFLIA/20170829-Rodin/smt5414835615964332598.smt2,0.471,1.333,Proofterm: 2.301,817
../smt-lib/AUFLIA/20170829-Rodin/smt147642301581579861.smt2,0.038,0.862,Proofterm: 1.219,278
../smt-lib/AUFLIA/20170829-Rodin/smt4762333614958780116.smt2,0.110,0.975,Proofterm: 1.820,398
../smt-lib/AUFLIA/20170829-Rodin/smt8281563809492412516.smt2,0.047,1.181,Proofterm: 2.831,557
../smt-lib/AUFLIA/20170829-Rodin/smt5628011185562541793.smt2,unknown,,,
../smt-lib/AUFLIA/20170829-Rodin/smt7895789018591855455.smt2,0.130,2.520,Proofterm: 6.266,1595
../smt-lib/AUFLIA/20170829-Rodin/smt1475061707248424549.smt2,NO PROOF (veriT),,,
../smt-lib/AUFLIA/20170829-Rodin/smt6912321247713328584.smt2,0.082,0.863,Proofterm: 1.025,292
../smt-lib/AUFLIA/20170829-Rodin/smt4645759131634683499.smt2,UNSAT checking is timeout! (veriT),,,
../smt-lib/AUFLIA/20170829-Rodin/smt7573091082348233166.smt2,0.063,0.343,Proofterm: 0.019,5
../smt-lib/AUFLIA/20170829-Rodin/smt902883824883038712.smt2,UNSAT checking is timeout! (veriT),,,
../smt-lib/AUFLIA/20170829-Rodin/smt8267847529850673480.smt2,UNSAT checking is timeout! (veriT),,,
../smt-lib/AUFLIA/20170829-Rodin/smt7268324143863579512.smt2,UNSAT checking is timeout! (veriT),,,
../smt-lib/AUFLIA/20170829-Rodin/smt8980454947450722777.smt2,0.062,0.880,Proofterm: 0.840,269
../smt-lib/AUFLIA/20170829-Rodin/smt2885702086782097441.smt2,0.121,0.719,Proofterm: 0.658,184
../smt-lib/AUFLIA/20170829-Rodin/smt679261307761114067.smt2,0.048,0.623,Proofterm: 0.855,157
../smt-lib/AUFLIA/20170829-Rodin/smt2224619517751453787.smt2,unknown,,,
../smt-lib/AUFLIA/20170829-Rodin/smt3586653808952468397.smt2,unknown,,,
../smt-lib/AUFLIA/20170829-Rodin/smt4761246044797670483.smt2,0.087,0.726,Proofterm: 1.090,211
../smt-lib/AUFLIA/20170829-Rodin/smt4543254125557905716.smt2,0.051,0.726,Proofterm: 1.003,211
../smt-lib/AUFLIA/20170829-Rodin/smt230202794975431528.smt2,UNSAT checking is timeout! (veriT),,,
../smt-lib/AUFLIA/20170829-Rodin/smt2587996156031646983.smt2,0.036,0.378,Proofterm: 0.114,11
../smt-lib/AUFLIA/20170829-Rodin/smt4707607557951181539.smt2,0.062,1.295,Proofterm: 2.559,627
../smt-lib/AUFLIA/20170829-Rodin/smt1160317309641309136.smt2,UNSAT checking is timeout! (veriT),,,
../smt-lib/AUFLIA/20170829-Rodin/smt8654057027241979881.smt2,NO PROOF (veriT),,,
../smt-lib/AUFLIA/20170829-Rodin/smt9107821742133667867.smt2,UNSAT checking is timeout! (veriT),,,
../smt-lib/AUFLIA/20170829-Rodin/smt3110251301875080922.smt2,unknown,,,
../smt-lib/AUFLIA/20170829-Rodin/smt1277732265078811369.smt2,UNSAT checking is timeout! (veriT),,,
../smt-lib/AUFLIA/20170829-Rodin/smt6759390604070337018.smt2,0.188,1.997,Error: ../smt-lib/AUFLIA/20170829-Rodin/smt6759390604070337018.smt2 'NoneType' object has no attribute 'prop',2592
../smt-lib/AUFLIA/20170829-Rodin/smt6831097510710125491.smt2,0.256,0.688,Proofterm: 1.245,131
../smt-lib/AUFLIA/20170829-Rodin/smt3625179650532359977.smt2,0.049,0.758,Proofterm: 0.606,228
../smt-lib/AUFLIA/20170829-Rodin/smt999675148899312327.smt2,0.065,0.789,Proofterm: 0.904,196
../smt-lib/AUFLIA/20170829-Rodin/smt3579527944100321067.smt2,0.079,0.611,Proofterm: 1.038,184
../smt-lib/AUFLIA/20170829-Rodin/smt3398192915283387125.smt2,0.059,0.420,Proofterm: 0.108,37
../smt-lib/AUFLIA/20170829-Rodin/smt6213353790401928911.smt2,0.070,1.497,Proofterm: 4.842,978
../smt-lib/AUFLIA/20170829-Rodin/smt4967238940122877737.smt2,NO PROOF (veriT),,,
../smt-lib/AUFLIA/20170829-Rodin/smt1540368938163058862.smt2,UNSAT checking is timeout! (veriT),,,
../smt-lib/AUFLIA/20170829-Rodin/smt8340965155098787144.smt2,unknown,,,
../smt-lib/AUFLIA/20170829-Rodin/smt6795615660770020277.smt2,0.062,1.103,Proofterm: 1.485,436
