filename,Solve,Parse,ProofTerm,Steps
../smt-lib/QF_AUFLIA/20170829-Rodin/smt1630796854449618649.smt2,0.046,0.341,Proofterm: 0.123,11
../smt-lib/QF_AUFLIA/20170829-Rodin/smt7405460456682932921.smt2,0.034,0.339,Proofterm: 0.158,22
../smt-lib/QF_AUFLIA/20170829-Rodin/smt7092645672798492791.smt2,0.031,0.355,Proofterm: 0.153,15
../smt-lib/QF_AUFLIA/20170829-Rodin/smt8011955704126474321.smt2,0.044,0.437,Proofterm: 0.168,10
../smt-lib/QF_AUFLIA/20170829-Rodin/smt7271452269704952934.smt2,0.040,0.346,Proofterm: 0.148,23
../smt-lib/QF_AUFLIA/20170829-Rodin/smt8618877835758306362.smt2,0.028,0.314,Proofterm: 0.051,14
../smt-lib/QF_AUFLIA/20170829-Rodin/smt1048206973303286471.smt2,0.044,0.397,Proofterm: 0.215,11
../smt-lib/QF_AUFLIA/20170829-Rodin/smt1946805393457691034.smt2,0.039,0.414,Proofterm: 0.179,22
../smt-lib/QF_AUFLIA/20170829-Rodin/smt373337730591991193.smt2,0.033,0.364,Proofterm: 0.107,11
../smt-lib/QF_AUFLIA/20170829-Rodin/smt6334367605951226396.smt2,0.028,0.397,Proofterm: 0.139,15
../smt-lib/QF_AUFLIA/20170829-Rodin/smt3758766264560852005.smt2,0.044,0.385,Proofterm: 0.197,11
../smt-lib/QF_AUFLIA/20170829-Rodin/smt6534511334474546878.smt2,0.037,0.381,Proofterm: 0.168,22
../smt-lib/QF_AUFLIA/20170829-Rodin/smt1829682051084319908.smt2,0.034,0.374,Proofterm: 0.154,15
../smt-lib/QF_AUFLIA/20170829-Rodin/smt4296070423334654308.smt2,0.037,0.383,Proofterm: 0.052,15
../smt-lib/QF_AUFLIA/20170829-Rodin/smt5732050528631778495.smt2,0.035,0.369,Proofterm: 0.054,15
../smt-lib/QF_AUFLIA/20170829-Rodin/smt2187227346843288353.smt2,0.039,0.386,Proofterm: 0.107,6
../smt-lib/QF_AUFLIA/20170829-Rodin/smt6642385862663943481.smt2,0.037,0.320,Proofterm: 0.003,3
