filename,Solve,Parse,ProofTerm,Steps
../smt-lib/QF_LIA/prime-cone/prime_cone_unsat_12.smt2,0.027,1.396,Error: ../smt-lib/QF_LIA/prime-cone/prime_cone_unsat_12.smt2 currently lia_generic is not supported 0.5122275570174679,92,2022-05-08 12:06:54
../smt-lib/QF_LIA/prime-cone/prime_cone_unsat_14.smt2,0.028,1.396,Error: ../smt-lib/QF_LIA/prime-cone/prime_cone_unsat_14.smt2 currently lia_generic is not supported 0.579498223029077,106,2022-05-08 12:06:55
../smt-lib/QF_LIA/prime-cone/prime_cone_unsat_10.smt2,0.021,1.001,Error: ../smt-lib/QF_LIA/prime-cone/prime_cone_unsat_10.smt2 currently lia_generic is not supported 0.6641501869307831,78,2022-05-08 12:06:54
../smt-lib/QF_LIA/prime-cone/prime_cone_unsat_11.smt2,0.024,1.341,Error: ../smt-lib/QF_LIA/prime-cone/prime_cone_unsat_11.smt2 currently lia_generic is not supported 0.49515881994739175,89,2022-05-08 12:06:54
../smt-lib/QF_LIA/prime-cone/prime_cone_unsat_19.smt2,0.118,1.825,Error: ../smt-lib/QF_LIA/prime-cone/prime_cone_unsat_19.smt2 currently lia_generic is not supported 0.6267406590050086,145,2022-05-08 12:06:55
../smt-lib/QF_LIA/prime-cone/prime_cone_unsat_9.smt2,0.022,0.708,Error: ../smt-lib/QF_LIA/prime-cone/prime_cone_unsat_9.smt2 currently lia_generic is not supported 0.8647462889784947,71,2022-05-08 12:06:54
../smt-lib/QF_LIA/prime-cone/prime_cone_unsat_3.smt2,0.018,0.472,Error: ../smt-lib/QF_LIA/prime-cone/prime_cone_unsat_3.smt2 currently lia_generic is not supported 0.11717959900852293,29,2022-05-08 12:06:53
../smt-lib/QF_LIA/prime-cone/prime_cone_unsat_7.smt2,0.020,0.590,Error: ../smt-lib/QF_LIA/prime-cone/prime_cone_unsat_7.smt2 currently lia_generic is not supported 0.6409768690355122,57,2022-05-08 12:06:54
../smt-lib/QF_LIA/prime-cone/prime_cone_unsat_16.smt2,0.032,1.556,Error: ../smt-lib/QF_LIA/prime-cone/prime_cone_unsat_16.smt2 currently lia_generic is not supported 0.6777869110228494,132,2022-05-08 12:06:55
../smt-lib/QF_LIA/prime-cone/prime_cone_unsat_4.smt2,0.017,0.469,Error: ../smt-lib/QF_LIA/prime-cone/prime_cone_unsat_4.smt2 currently lia_generic is not supported 0.12873744999524206,36,2022-05-08 12:06:53
../smt-lib/QF_LIA/prime-cone/prime_cone_unsat_5.smt2,0.017,0.513,Error: ../smt-lib/QF_LIA/prime-cone/prime_cone_unsat_5.smt2 currently lia_generic is not supported 0.27220500900875777,43,2022-05-08 12:06:53
../smt-lib/QF_LIA/prime-cone/prime_cone_unsat_13.smt2,0.027,1.286,Error: ../smt-lib/QF_LIA/prime-cone/prime_cone_unsat_13.smt2 currently lia_generic is not supported 0.5527212909655645,99,2022-05-08 12:06:54
../smt-lib/QF_LIA/prime-cone/prime_cone_unsat_8.smt2,0.018,0.647,Error: ../smt-lib/QF_LIA/prime-cone/prime_cone_unsat_8.smt2 currently lia_generic is not supported 0.7498431800631806,64,2022-05-08 12:06:54
../smt-lib/QF_LIA/prime-cone/prime_cone_unsat_6.smt2,0.018,0.548,Error: ../smt-lib/QF_LIA/prime-cone/prime_cone_unsat_6.smt2 currently lia_generic is not supported 0.3549298340221867,50,2022-05-08 12:06:53
../smt-lib/QF_LIA/prime-cone/prime_cone_unsat_15.smt2,0.031,1.452,Error: ../smt-lib/QF_LIA/prime-cone/prime_cone_unsat_15.smt2 currently lia_generic is not supported 0.6151524510933086,117,2022-05-08 12:06:55
../smt-lib/QF_LIA/prime-cone/prime_cone_unsat_17.smt2,0.037,1.753,Error: ../smt-lib/QF_LIA/prime-cone/prime_cone_unsat_17.smt2 currently lia_generic is not supported 0.6246847580187023,135,2022-05-08 12:06:55
../smt-lib/QF_LIA/prime-cone/prime_cone_unsat_20.smt2,0.034,1.739,Error: ../smt-lib/QF_LIA/prime-cone/prime_cone_unsat_20.smt2 currently lia_generic is not supported 0.6293135720770806,148,2022-05-08 12:06:55
../smt-lib/QF_LIA/prime-cone/prime_cone_unsat_18.smt2,0.033,1.798,Error: ../smt-lib/QF_LIA/prime-cone/prime_cone_unsat_18.smt2 currently lia_generic is not supported 0.6176855299854651,134,2022-05-08 12:06:55
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/coef-size/smt/size-10/c10_problem__002.smt2.slack.smt2,0.024,1.502,Proofterm: 1.987,140,2022-05-08 12:06:56
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/coef-size/smt/size-100/c100_problem__006.smt2.slack.smt2,0.033,1.733,Proofterm: 2.445,193,2022-05-08 12:06:57
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/coef-size/smt/size-90/c90_problem__005.smt2.slack.smt2,0.025,1.753,Proofterm: 2.223,190,2022-05-08 12:06:57
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/coef-size/smt/size-20/c20_problem__004.smt2.slack.smt2,0.025,1.491,Proofterm: 1.513,156,2022-05-08 12:06:56
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/coef-size/smt/size-30/c30_problem__006.smt2.slack.smt2,0.025,1.561,Proofterm: 1.646,157,2022-05-08 12:06:56
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/coef-size/smt/size-50/c50_problem__006.smt2.slack.smt2,0.026,1.561,Proofterm: 2.103,182,2022-05-08 12:06:56
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/coef-size/smt/size-50/c50_problem__002.smt2.slack.smt2,0.025,1.513,Proofterm: 2.160,183,2022-05-08 12:06:56
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/coef-size/smt/size-40/c40_problem__002.smt2.slack.smt2,0.024,1.477,Proofterm: 1.906,170,2022-05-08 12:06:56
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/20-vars/v20_problem_2__032.smt2.slack.smt2,0.073,1.611,Proofterm: 2.403,182,2022-05-08 12:06:57
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/20-vars/v20_problem__027.smt2.slack.smt2,0.058,1.502,Proofterm: 2.492,180,2022-05-08 12:06:57
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/20-vars/v20_problem__029.smt2.slack.smt2,0.074,1.549,Proofterm: 2.657,184,2022-05-08 12:06:57
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/20-vars/v20_problem_2__027.smt2.slack.smt2,0.053,1.483,Proofterm: 2.829,168,2022-05-08 12:06:57
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/20-vars/v20_problem_2__030.smt2.slack.smt2,0.056,1.694,Proofterm: 2.666,184,2022-05-08 12:06:57
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/20-vars/v20_problem__034.smt2.slack.smt2,0.086,1.768,Proofterm: 2.680,180,2022-05-08 12:06:57
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/20-vars/v20_problem__018.smt2.slack.smt2,0.049,1.624,Proofterm: 2.667,176,2022-05-08 12:06:57
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/20-vars/v20_problem__016.smt2.slack.smt2,0.040,1.570,Proofterm: 2.546,184,2022-05-08 12:06:57
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/20-vars/v20_problem__025.smt2.slack.smt2,0.065,1.568,Proofterm: 2.149,178,2022-05-08 12:06:56
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/20-vars/v20_problem__032.smt2.slack.smt2,0.059,1.551,Proofterm: 2.396,186,2022-05-08 12:06:57
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/20-vars/v20_problem__031.smt2.slack.smt2,0.060,1.584,Proofterm: 2.575,178,2022-05-08 12:06:57
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/20-vars/v20_problem__033.smt2.slack.smt2,0.063,1.545,Proofterm: 2.700,170,2022-05-08 12:06:57
