filename,Solve,Parse,ProofTerm,Steps
../smt-lib/QF_LIA/prime-cone/prime_cone_unsat_12.smt2,0.035,0.900,Error: ../smt-lib/QF_LIA/prime-cone/prime_cone_unsat_12.smt2 currently lia_generic is not supported 0.14465882000513375,92,2022-05-08 12:32:58
../smt-lib/QF_LIA/prime-cone/prime_cone_unsat_14.smt2,0.034,0.897,Error: ../smt-lib/QF_LIA/prime-cone/prime_cone_unsat_14.smt2 currently lia_generic is not supported 0.18797939305659384,106,2022-05-08 12:32:58
../smt-lib/QF_LIA/prime-cone/prime_cone_unsat_10.smt2,0.031,0.821,Error: ../smt-lib/QF_LIA/prime-cone/prime_cone_unsat_10.smt2 currently lia_generic is not supported 0.10032158298417926,78,2022-05-08 12:32:58
../smt-lib/QF_LIA/prime-cone/prime_cone_unsat_11.smt2,0.036,0.796,Error: ../smt-lib/QF_LIA/prime-cone/prime_cone_unsat_11.smt2 currently lia_generic is not supported 0.11167241202201694,89,2022-05-08 12:32:58
../smt-lib/QF_LIA/prime-cone/prime_cone_unsat_19.smt2,0.201,1.704,Error: ../smt-lib/QF_LIA/prime-cone/prime_cone_unsat_19.smt2 currently lia_generic is not supported 0.25372048700228333,145,2022-05-08 12:32:59
../smt-lib/QF_LIA/prime-cone/prime_cone_unsat_9.smt2,0.030,0.845,Error: ../smt-lib/QF_LIA/prime-cone/prime_cone_unsat_9.smt2 currently lia_generic is not supported 0.0815419239224866,71,2022-05-08 12:32:58
../smt-lib/QF_LIA/prime-cone/prime_cone_unsat_3.smt2,0.027,0.691,Error: ../smt-lib/QF_LIA/prime-cone/prime_cone_unsat_3.smt2 currently lia_generic is not supported 0.023584361071698368,29,2022-05-08 12:32:58
../smt-lib/QF_LIA/prime-cone/prime_cone_unsat_7.smt2,0.031,0.704,Error: ../smt-lib/QF_LIA/prime-cone/prime_cone_unsat_7.smt2 currently lia_generic is not supported 0.06483067804947495,57,2022-05-08 12:32:58
../smt-lib/QF_LIA/prime-cone/prime_cone_unsat_16.smt2,0.049,1.135,Error: ../smt-lib/QF_LIA/prime-cone/prime_cone_unsat_16.smt2 currently lia_generic is not supported 0.23057572601828724,132,2022-05-08 12:32:59
../smt-lib/QF_LIA/prime-cone/prime_cone_unsat_4.smt2,0.028,0.483,Error: ../smt-lib/QF_LIA/prime-cone/prime_cone_unsat_4.smt2 currently lia_generic is not supported 0.023521032999269664,36,2022-05-08 12:32:58
../smt-lib/QF_LIA/prime-cone/prime_cone_unsat_5.smt2,0.028,0.690,Error: ../smt-lib/QF_LIA/prime-cone/prime_cone_unsat_5.smt2 currently lia_generic is not supported 0.04354586196132004,43,2022-05-08 12:32:58
../smt-lib/QF_LIA/prime-cone/prime_cone_unsat_13.smt2,0.035,0.891,Error: ../smt-lib/QF_LIA/prime-cone/prime_cone_unsat_13.smt2 currently lia_generic is not supported 0.14198266400489956,99,2022-05-08 12:32:58
../smt-lib/QF_LIA/prime-cone/prime_cone_unsat_8.smt2,0.029,0.782,Error: ../smt-lib/QF_LIA/prime-cone/prime_cone_unsat_8.smt2 currently lia_generic is not supported 0.07185776100959629,64,2022-05-08 12:32:58
../smt-lib/QF_LIA/prime-cone/prime_cone_unsat_6.smt2,0.027,0.843,Error: ../smt-lib/QF_LIA/prime-cone/prime_cone_unsat_6.smt2 currently lia_generic is not supported 0.05989328003488481,50,2022-05-08 12:32:58
../smt-lib/QF_LIA/prime-cone/prime_cone_unsat_15.smt2,0.041,0.999,Error: ../smt-lib/QF_LIA/prime-cone/prime_cone_unsat_15.smt2 currently lia_generic is not supported 0.1725350070046261,117,2022-05-08 12:32:58
../smt-lib/QF_LIA/prime-cone/prime_cone_unsat_17.smt2,0.056,1.055,Error: ../smt-lib/QF_LIA/prime-cone/prime_cone_unsat_17.smt2 currently lia_generic is not supported 0.22160590393468738,135,2022-05-08 12:32:59
../smt-lib/QF_LIA/prime-cone/prime_cone_unsat_20.smt2,0.055,1.069,Error: ../smt-lib/QF_LIA/prime-cone/prime_cone_unsat_20.smt2 currently lia_generic is not supported 0.23024145292583853,148,2022-05-08 12:32:59
../smt-lib/QF_LIA/prime-cone/prime_cone_unsat_18.smt2,0.049,1.123,Error: ../smt-lib/QF_LIA/prime-cone/prime_cone_unsat_18.smt2 currently lia_generic is not supported 0.35314810601994395,134,2022-05-08 12:32:59
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/coef-size/smt/size-10/c10_problem__002.smt2.slack.smt2,0.039,1.003,Proofterm: 1.517,140,2022-05-08 12:33:00
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/coef-size/smt/size-100/c100_problem__006.smt2.slack.smt2,0.050,1.424,Proofterm: 1.734,193,2022-05-08 12:33:00
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/coef-size/smt/size-90/c90_problem__005.smt2.slack.smt2,0.036,0.962,Proofterm: 2.069,190,2022-05-08 12:33:00
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/coef-size/smt/size-20/c20_problem__004.smt2.slack.smt2,0.044,0.996,Proofterm: 1.650,156,2022-05-08 12:33:00
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/coef-size/smt/size-30/c30_problem__006.smt2.slack.smt2,0.043,0.873,Proofterm: 1.803,157,2022-05-08 12:33:00
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/coef-size/smt/size-50/c50_problem__006.smt2.slack.smt2,0.038,0.991,Proofterm: 1.643,182,2022-05-08 12:33:00
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/coef-size/smt/size-50/c50_problem__002.smt2.slack.smt2,0.046,0.945,Proofterm: 2.025,183,2022-05-08 12:33:00
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/coef-size/smt/size-40/c40_problem__002.smt2.slack.smt2,0.044,0.968,Proofterm: 2.123,170,2022-05-08 12:33:00
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/20-vars/v20_problem_2__032.smt2.slack.smt2,0.117,1.175,Proofterm: 1.838,182,2022-05-08 12:33:00
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/20-vars/v20_problem__027.smt2.slack.smt2,0.092,1.308,Proofterm: 2.072,180,2022-05-08 12:33:01
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/20-vars/v20_problem__029.smt2.slack.smt2,0.095,1.194,Proofterm: 1.918,184,2022-05-08 12:33:01
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/20-vars/v20_problem_2__027.smt2.slack.smt2,0.084,1.148,Proofterm: 1.628,168,2022-05-08 12:33:00
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/20-vars/v20_problem_2__030.smt2.slack.smt2,0.075,1.067,Proofterm: 2.311,184,2022-05-08 12:33:01
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/20-vars/v20_problem__034.smt2.slack.smt2,0.114,1.259,Proofterm: 1.865,180,2022-05-08 12:33:01
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/20-vars/v20_problem__018.smt2.slack.smt2,0.076,1.269,Proofterm: 1.908,176,2022-05-08 12:33:01
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/20-vars/v20_problem__016.smt2.slack.smt2,0.063,1.212,Proofterm: 2.022,184,2022-05-08 12:33:01
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/20-vars/v20_problem__025.smt2.slack.smt2,0.092,1.356,Proofterm: 1.872,178,2022-05-08 12:33:01
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/20-vars/v20_problem__032.smt2.slack.smt2,0.103,1.246,Proofterm: 1.935,186,2022-05-08 12:33:01
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/20-vars/v20_problem__031.smt2.slack.smt2,0.100,1.582,Proofterm: 1.843,178,2022-05-08 12:33:01
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/20-vars/v20_problem__033.smt2.slack.smt2,0.111,0.762,Proofterm: 1.932,170,2022-05-08 12:33:00
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/20-vars/v20_problem_2__026.smt2.slack.smt2,0.110,1.372,Proofterm: 2.051,178,2022-05-08 12:33:01
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/20-vars/v20_problem_2__033.smt2.slack.smt2,0.116,1.111,Proofterm: 1.817,181,2022-05-08 12:33:00
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/20-vars/v20_problem__035.smt2.slack.smt2,0.099,1.224,Proofterm: 2.397,180,2022-05-08 12:33:01
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/20-vars/v20_problem__023.smt2.slack.smt2,0.084,1.409,Proofterm: 1.935,183,2022-05-08 12:33:01
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/20-vars/v20_problem_2__034.smt2.slack.smt2,0.087,1.050,Proofterm: 2.020,171,2022-05-08 12:33:00
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/20-vars/v20_problem_2__031.smt2.slack.smt2,0.121,1.399,Proofterm: 2.071,181,2022-05-08 12:33:01
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/30-vars/v30_problem__032.smt2.slack.smt2,0.148,1.344,Proofterm: 5.825,285,2022-05-08 12:33:05
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/15-vars/v15_problem__023.smt2.slack.smt2,0.068,0.903,Proofterm: 1.013,130,2022-05-08 12:32:59
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/15-vars/v15_problem__016.smt2.slack.smt2,0.067,1.010,Proofterm: 1.004,130,2022-05-08 12:32:59
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/15-vars/v15_problem_2__022.smt2.slack.smt2,0.066,0.907,Proofterm: 1.082,132,2022-05-08 12:32:59
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/15-vars/v15_problem__025.smt2.slack.smt2,0.063,0.946,Proofterm: 0.657,117,2022-05-08 12:32:59
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/15-vars/v15_problem_2__021.smt2.slack.smt2,0.085,1.060,Proofterm: 0.945,133,2022-05-08 12:32:59
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/15-vars/v15_problem__022.smt2.slack.smt2,0.080,1.072,Proofterm: 1.010,132,2022-05-08 12:32:59
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/15-vars/v15_problem_2__019.smt2.slack.smt2,0.062,1.026,Proofterm: 0.980,136,2022-05-08 12:32:59
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/15-vars/v15_problem__024.smt2.slack.smt2,0.067,0.878,Proofterm: 1.441,133,2022-05-08 12:33:00
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/15-vars/v15_problem_2__011.smt2.slack.smt2,0.056,0.843,Proofterm: 1.058,138,2022-05-08 12:32:59
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/15-vars/v15_problem_2__020.smt2.slack.smt2,0.065,0.980,Proofterm: 0.887,128,2022-05-08 12:32:59
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/15-vars/v15_problem_2__025.smt2.slack.smt2,6.690,0.768,Error: ../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/15-vars/v15_problem_2__025.smt2.slack.smt2 currently lia_generic is not supported 0.3371444490039721,274,2022-05-08 12:33:11
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/15-vars/v15_problem_2__024.smt2.slack.smt2,0.085,1.068,Proofterm: 1.349,136,2022-05-08 12:33:00
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem_2__032.smt2.slack.smt2,0.048,0.919,Proofterm: 0.388,70,2022-05-08 12:32:59
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem_2__021.smt2.slack.smt2,0.066,0.861,Proofterm: 0.472,70,2022-05-08 12:32:59
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem__035.smt2.slack.smt2,0.065,0.902,Proofterm: 0.384,65,2022-05-08 12:32:59
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem__016.smt2.slack.smt2,0.057,0.866,Proofterm: 0.407,85,2022-05-08 12:32:59
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem__020.smt2.slack.smt2,0.072,0.887,Proofterm: 0.432,72,2022-05-08 12:32:59
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem_2__033.smt2.slack.smt2,0.067,0.888,Proofterm: 0.491,68,2022-05-08 12:32:59
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem__022.smt2.slack.smt2,0.060,0.992,Proofterm: 0.404,80,2022-05-08 12:32:59
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem_2__025.smt2.slack.smt2,0.064,1.000,Proofterm: 0.437,82,2022-05-08 12:32:59
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem__027.smt2.slack.smt2,0.073,0.907,Proofterm: 0.501,72,2022-05-08 12:32:59
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem_2__024.smt2.slack.smt2,0.053,0.841,Proofterm: 0.446,88,2022-05-08 12:32:59
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem__021.smt2.slack.smt2,0.064,0.890,Proofterm: 0.416,86,2022-05-08 12:32:59
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem_2__016.smt2.slack.smt2,0.074,0.906,Proofterm: 0.593,84,2022-05-08 12:32:59
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem_2__026.smt2.slack.smt2,0.060,0.903,Proofterm: 0.382,68,2022-05-08 12:32:59
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem__030.smt2.slack.smt2,0.062,0.845,Proofterm: 0.485,90,2022-05-08 12:32:59
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem__025.smt2.slack.smt2,0.077,0.710,Proofterm: 0.466,88,2022-05-08 12:32:59
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem_2__029.smt2.slack.smt2,0.068,0.879,Proofterm: 0.156,45,2022-05-08 12:32:58
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem_2__035.smt2.slack.smt2,0.076,0.891,Proofterm: 0.489,88,2022-05-08 12:32:59
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem__028.smt2.slack.smt2,0.085,0.922,Proofterm: 0.657,82,2022-05-08 12:32:59
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem_2__031.smt2.slack.smt2,0.067,0.842,Proofterm: 0.392,79,2022-05-08 12:32:59
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem__031.smt2.slack.smt2,0.070,0.879,Proofterm: 0.505,69,2022-05-08 12:32:59
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem__029.smt2.slack.smt2,0.074,0.829,Proofterm: 0.591,86,2022-05-08 12:32:59
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem_2__019.smt2.slack.smt2,0.070,0.860,Proofterm: 0.411,76,2022-05-08 12:32:59
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem_2__028.smt2.slack.smt2,0.080,0.900,Proofterm: 0.339,67,2022-05-08 12:32:59
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem__026.smt2.slack.smt2,0.071,0.963,Proofterm: 0.415,85,2022-05-08 12:32:59
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem_2__030.smt2.slack.smt2,0.077,0.906,Proofterm: 0.439,86,2022-05-08 12:32:59
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem_2__027.smt2.slack.smt2,0.082,0.900,Proofterm: 0.628,91,2022-05-08 12:32:59
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem__024.smt2.slack.smt2,0.084,0.901,Proofterm: 0.627,88,2022-05-08 12:32:59
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem__017.smt2.slack.smt2,0.073,0.924,Proofterm: 0.456,86,2022-05-08 12:32:59
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem_2__034.smt2.slack.smt2,0.081,0.932,Proofterm: 0.494,88,2022-05-08 12:32:59
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem__032.smt2.slack.smt2,0.079,0.978,Proofterm: 0.438,83,2022-05-08 12:32:59
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem__034.smt2.slack.smt2,0.082,0.924,Proofterm: 0.168,51,2022-05-08 12:32:58
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem_2__012.smt2.slack.smt2,0.089,0.949,Proofterm: 0.184,52,2022-05-08 12:32:58
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/25-vars/v25_problem_2__033.smt2.slack.smt2,0.159,1.401,Proofterm: 4.287,233,2022-05-08 12:33:03
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/25-vars/v25_problem__022.smt2.slack.smt2,0.891,1.059,Error: ../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/25-vars/v25_problem__022.smt2.slack.smt2 currently lia_generic is not supported 0.42630761209875345,396,2022-05-08 12:33:00
