filename,Solve,Parse,ProofTerm,Steps
../smt-lib/QF_RDL/sal/fischer3-mutex-20.smt2,70.277,126.332,Error: ../smt-lib/QF_RDL/sal/fischer3-mutex-20.smt2 Timeout,161874
../smt-lib/QF_RDL/sal/fischer9-mutex-1.smt2,0.268,8.980,Proofterm: 13.867,2315
../smt-lib/QF_RDL/sal/fischer6-mutex-8.smt2,0.982,12.594,Proofterm: 165.349,14210
../smt-lib/QF_RDL/sal/fischer9-mutex-3.smt2,0.511,9.908,Proofterm: 49.116,6860
../smt-lib/QF_RDL/sal/fischer6-mutex-5.smt2,0.430,8.243,Proofterm: 53.131,7186
../smt-lib/QF_RDL/sal/fischer6-mutex-1.smt2,0.070,8.130,Proofterm: 9.554,1463
../smt-lib/QF_RDL/sal/fischer6-mutex-10.smt2,9.179,33.682,Error: ../smt-lib/QF_RDL/sal/fischer6-mutex-10.smt2 Timeout,38291
../smt-lib/QF_RDL/sal/fischer9-mutex-10.smt2,29.583,61.629,Error: ../smt-lib/QF_RDL/sal/fischer9-mutex-10.smt2 Timeout,70062
../smt-lib/QF_RDL/sal/fischer3-mutex-17.smt2,5.283,21.471,Error: ../smt-lib/QF_RDL/sal/fischer3-mutex-17.smt2 Timeout,29147
../smt-lib/QF_RDL/sal/fischer9-mutex-6.smt2,0.891,14.586,Proofterm: 138.293,14579
../smt-lib/QF_RDL/sal/fischer9-mutex-2.smt2,0.212,7.514,Proofterm: 27.188,4682
../smt-lib/QF_RDL/sal/fischer6-mutex-13.smt2,35.970,63.250,Error: ../smt-lib/QF_RDL/sal/fischer6-mutex-13.smt2 Timeout,79326
../smt-lib/QF_RDL/sal/fischer3-mutex-7.smt2,0.341,7.678,Proofterm: 31.798,5017
../smt-lib/QF_RDL/sal/fischer3-mutex-11.smt2,1.391,9.901,Proofterm: 220.977,13960
../smt-lib/QF_RDL/sal/fischer9-mutex-4.smt2,0.520,10.039,Proofterm: 71.808,8926
../smt-lib/QF_RDL/sal/fischer6-mutex-11.smt2,12.325,45.689,Error: ../smt-lib/QF_RDL/sal/fischer6-mutex-11.smt2 Timeout,42827
../smt-lib/QF_RDL/sal/fischer6-mutex-12.smt2,27.603,57.138,Error: ../smt-lib/QF_RDL/sal/fischer6-mutex-12.smt2 Timeout,66151
../smt-lib/QF_RDL/sal/fischer9-mutex-9.smt2,10.392,44.156,Error: ../smt-lib/QF_RDL/sal/fischer9-mutex-9.smt2 Timeout,44147
../smt-lib/QF_RDL/sal/fischer3-mutex-14.smt2,3.447,15.821,Error: ../smt-lib/QF_RDL/sal/fischer3-mutex-14.smt2 Timeout,22660
../smt-lib/QF_RDL/sal/fischer3-mutex-3.smt2,0.160,8.122,Proofterm: 12.133,1994
../smt-lib/QF_RDL/sal/fischer3-mutex-2.smt2,0.065,6.658,Proofterm: 9.372,1374
../smt-lib/QF_RDL/sal/fischer3-mutex-13.smt2,2.589,12.172,Error: ../smt-lib/QF_RDL/sal/fischer3-mutex-13.smt2 Timeout,18826
../smt-lib/QF_RDL/sal/fischer6-mutex-2.smt2,0.125,7.024,Proofterm: 16.161,2877
../smt-lib/QF_RDL/sal/fischer3-mutex-6.smt2,0.275,6.278,Proofterm: 25.287,4124
../smt-lib/QF_RDL/sal/fischer9-mutex-12.smt2,110.289,142.050,Error: ../smt-lib/QF_RDL/sal/fischer9-mutex-12.smt2 Timeout,152842
../smt-lib/QF_RDL/sal/fischer3-mutex-1.smt2,0.065,3.226,Proofterm: 8.378,722
../smt-lib/QF_RDL/sal/fischer6-mutex-14.smt2,29.168,66.487,Error: ../smt-lib/QF_RDL/sal/fischer6-mutex-14.smt2 Timeout,69947
../smt-lib/QF_RDL/sal/fischer9-mutex-5.smt2,0.510,11.054,Proofterm: 96.483,11254
../smt-lib/QF_RDL/sal/fischer6-mutex-9.smt2,2.154,16.285,Error: ../smt-lib/QF_RDL/sal/fischer6-mutex-9.smt2 Timeout,21410
../smt-lib/QF_RDL/sal/fischer9-mutex-8.smt2,2.528,35.778,Error: ../smt-lib/QF_RDL/sal/fischer9-mutex-8.smt2 Timeout,23423
../smt-lib/QF_RDL/sal/fischer3-mutex-16.smt2,4.589,19.145,Error: ../smt-lib/QF_RDL/sal/fischer3-mutex-16.smt2 Timeout,26933
