filename,Solve,Parse,ProofTerm,Steps
../smt-lib/QF_UF/20170829-Rodin/smt6739662804326223632.smt2, 0.009, 0.181, Proofterm: 0.021, 1
../smt-lib/QF_UF/20170829-Rodin/smt7452810379672948208.smt2, 0.009, 0.197, Proofterm: 0.021, 1
../smt-lib/QF_UF/20170829-Rodin/smt4057580428149921510.smt2, 0.009, 0.197, Proofterm: 0.058, 1
../smt-lib/QF_UF/20170829-Rodin/smt7665342989239969743.smt2, 0.006, 0.185, Proofterm: 0.009, 
../smt-lib/QF_UF/20170829-Rodin/smt1300175744189082250.smt2, 0.010, 0.165, Proofterm: 0.001, 
../smt-lib/QF_UF/20170829-Rodin/smt3166111930664231918.smt2, 0.005, 0.201, Proofterm: 0.008, 
../smt-lib/QF_UF/20170829-Rodin/smt7632939434921259240.smt2, 0.011, 0.215, Proofterm: 0.021, 1
../smt-lib/QF_UF/20170829-Rodin/smt5832055835117075398.smt2, 0.008, 0.188, Proofterm: 0.001, 
../smt-lib/QF_UF/20170829-Rodin/smt5801285361354912971.smt2, 0.010, 0.189, Proofterm: 0.019, 1
../smt-lib/QF_UF/20170829-Rodin/smt5144869669709662262.smt2, 0.008, 0.188, Proofterm: 0.014, 1
../smt-lib/QF_UF/20170829-Rodin/smt2061505268723161891.smt2, 0.007, 0.212, Proofterm: 0.023, 1
../smt-lib/QF_UF/20170829-Rodin/smt2325451563592377472.smt2, 0.005, 0.181, Proofterm: 0.075, 2
../smt-lib/QF_UF/20170829-Rodin/smt3534838651727683253.smt2, 0.005, 0.211, Proofterm: 0.011, 1
../smt-lib/QF_UF/20170829-Rodin/smt2598599073465845145.smt2, 0.007, 0.208, Proofterm: 0.016, 1
../smt-lib/QF_UF/20170829-Rodin/smt2080745738819601301.smt2, 0.008, 0.177, Proofterm: 0.012, 1
../smt-lib/QF_UF/20170829-Rodin/smt1468783596909311386.smt2, 0.005, 0.204, Proofterm: 0.006, 
../smt-lib/QF_UF/20170829-Rodin/smt2970577543992530805.smt2, 0.007, 0.197, Proofterm: 0.050, 2
../smt-lib/QF_UF/20170829-Rodin/smt249825283571301584.smt2, 0.005, 0.188, Proofterm: 0.020, 1
../smt-lib/QF_UF/20170829-Rodin/smt4458073420585573738.smt2, 0.005, 0.186, Proofterm: 0.025, 1
../smt-lib/QF_UF/20170829-Rodin/smt5490086717622526120.smt2, 0.012, 0.197, Proofterm: 0.047, 1
Total time: 7.158
2022-05-06 14:24:11
