filename,Solve,Parse,ProofTerm,Steps
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_cambridge.1.prop2_ab_reg_max.smt2,0.208,3.639,Proofterm: 1.041,31
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_sw_state_machine_ab_reg_max.smt2,0.058,0.585,Proofterm: 0.096,18
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_sokoban.3.prop1_ab_br_max.smt2,1.214,3.258,Proofterm: 28.299,8284
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_synapse.4.prop1_ab_reg_max.smt2,0.187,4.550,Proofterm: 0.875,31
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_sokoban.1.prop1_ab_reg_max.smt2,0.425,1.643,Proofterm: 0.680,185
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_brp2.6.prop1_ab_reg_max.smt2,0.288,5.076,Proofterm: 1.236,36
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_iprotocol.4.prop1_ab_reg_max.smt2,1.216,5.317,Proofterm: 0.711,31
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_collision.5.prop1_ab_reg_max.smt2,0.273,3.145,Proofterm: 2.109,460
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_iprotocol.5.prop1_ab_reg_max.smt2,0.274,4.666,Proofterm: 2.102,303
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_cyclic_scheduler.2.prop1_ab_reg_max.smt2,0.176,3.973,Proofterm: 1.775,238
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_collision.1.prop1_ab_reg_max.smt2,0.142,2.365,Proofterm: 0.616,31
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_elevator.1.prop1_ab_reg_max.smt2,0.130,5.523,Proofterm: 0.576,36
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_sw_sym_ex_ab_reg_max.smt2,0.073,2.184,Proofterm: 0.277,18
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_synapse.5.prop1_ab_reg_max.smt2,0.376,3.957,Proofterm: 1.525,629
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_exit.1.prop1_ab_reg_max.smt2,0.363,3.212,Proofterm: 1.186,125
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_blocks.2.prop1_ab_reg_max.smt2,0.089,2.251,Proofterm: 0.574,31
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_brp2.3.prop1_ab_reg_max.smt2,0.374,4.065,Proofterm: 1.465,211
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_train-gate.6.prop1_ab_br_max.smt2,0.208,2.169,Proofterm: 0.971,124
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_cambridge.3.prop2_ab_reg_max.smt2,0.256,4.930,Proofterm: 2.973,616
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_sw_loop_ab_reg_max.smt2,0.218,4.677,Proofterm: 2.455,75
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_needham.1.prop1_ab_reg_max.smt2,0.134,4.954,Proofterm: 0.606,36
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_resistance.2.prop3_ab_cti_max.smt2,0.198,5.033,Proofterm: 2.819,734
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_reader_writer.3.prop1_ab_reg_max.smt2,0.161,4.442,Proofterm: 0.484,31
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_protocols.3.prop1_ab_reg_max.smt2,0.163,2.093,Proofterm: 0.990,38
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_pgm_protocol.8.prop6_ab_reg_max.smt2,0.439,3.761,Proofterm: 0.503,36
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_h_Rrobin_ab_reg_max.smt2,0.202,2.047,Proofterm: 0.891,41
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_exit.4.prop1_ab_reg_max.smt2,0.207,2.235,Proofterm: 2.021,382
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_pgm_protocol.4.prop6_ab_reg_max.smt2,0.735,6.242,Proofterm: 0.448,36
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_cyclic_scheduler.3.prop1_ab_reg_max.smt2,0.702,3.710,Proofterm: 0.707,31
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_extinction.2.prop1_ab_reg_max.smt2,0.749,5.092,Proofterm: 0.842,46
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_resistance.1.prop2_ab_reg_max.smt2,1.393,4.556,Proofterm: 5.043,54
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_lifts.4.prop1_ab_reg_max.smt2,0.463,3.554,Proofterm: 3.468,1582
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_brp2.5.prop3_ab_reg_max.smt2,1.533,4.959,Proofterm: 0.742,69
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_needham.3.prop2_ab_reg_max.smt2,1.533,4.732,Proofterm: 0.356,37
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_cambridge.7.prop2_ab_reg_max.smt2,0.321,4.155,Proofterm: 2.307,611
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_rether.3.prop1_ab_reg_max.smt2,0.828,3.348,Proofterm: 0.778,31
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_h_Vlunc_ab_cti_max.smt2,0.701,7.980,Proofterm: 6.701,599
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_elevator.2.prop1_ab_reg_max.smt2,0.144,3.264,Proofterm: 1.024,36
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_cyclic_scheduler.1.prop1_ab_reg_max.smt2,1.111,3.915,Proofterm: 0.324,31
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_telephony.8.prop1_ab_reg_max.smt2,1.350,3.767,Proofterm: 0.721,31
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_iprotocol.3.prop1_ab_reg_max.smt2,1.452,4.833,Proofterm: 0.719,31
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_collision.2.prop1_ab_reg_max.smt2,0.816,4.805,Proofterm: 0.839,31
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_schedule_world.2.prop1_ab_br_max.smt2,0.143,4.897,Proofterm: 3.974,879
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_reader_writer.2.prop1_ab_reg_max.smt2,0.797,4.660,Proofterm: 1.081,31
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_loyd.3.prop1_ab_br_max.smt2,0.338,4.167,Proofterm: 8.023,2921
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_needham.2.prop4_ab_reg_max.smt2,1.013,4.017,Proofterm: 0.308,36
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_usb_phy_ab_reg_max.smt2,0.810,4.123,Proofterm: 2.318,61
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_synapse.7.prop1_ab_reg_max.smt2,0.491,2.819,Proofterm: 1.580,749
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_gear.2.prop2_ab_reg_max.smt2,0.216,2.720,Proofterm: 2.029,363
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_elevator_planning.2.prop1_ab_reg_max.smt2,0.289,4.870,Proofterm: 0.318,31
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_brp2.3.prop3_ab_reg_max.smt2,0.230,3.460,Proofterm: 2.057,334
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_brp.4.prop1_ab_reg_max.smt2,1.316,3.671,Proofterm: 0.784,31
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_h_TicTacToe_ab_reg_max.smt2,0.307,6.229,Error: ../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_h_TicTacToe_ab_reg_max.smt2 ,1523
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_lup.1.prop1_ab_reg_max.smt2,0.301,3.461,Proofterm: 1.018,36
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_brp2.1.prop1_ab_reg_max.smt2,0.165,2.083,Proofterm: 0.937,211
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_sokoban.2.prop1_ab_br_max.smt2,0.762,2.664,Proofterm: 13.150,4574
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_train-gate.7.prop1_ab_reg_max.smt2,1.396,3.965,Proofterm: 0.553,36
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_telephony.7.prop1_ab_reg_max.smt2,0.316,3.226,Proofterm: 2.354,681
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_firewire_tree.1.prop1_ab_reg_max.smt2,1.024,2.822,Proofterm: 3.904,2734
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_loyd.2.prop1_ab_br_max.smt2,0.187,4.264,Proofterm: 8.181,2102
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_telephony.1.prop1_ab_reg_max.smt2,0.710,3.615,Proofterm: 0.834,31
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_pouring.2.prop1_ab_reg_max.smt2,0.618,3.193,Proofterm: 0.846,31
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_hanoi.2.prop1_ab_br_max.smt2,0.393,1.871,Proofterm: 6.564,2652
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_peg_solitaire.1.prop1_ab_fp_max.smt2,0.510,3.759,Proofterm: 49.176,9765
../smt-lib/QF_UF/2018-Goel-hwbench/QF_UF_needham.3.prop1_ab_reg_max.smt2,0.463,3.931,Proofterm: 0.206,36
