filename,Solve,Parse,ProofTerm,Steps
"176504/176504 [100%] in 1:16.0 (2321.10/s) 
../smt-lib/QF_UF/SEQ/SEQ035_size5.smt2", 0.007, 9.476, Proofterm: 76.395, 17650
../smt-lib/QF_UF/SEQ/SEQ004_size6.smt2,0.228,TIMEOUT,TIMEOUT,
../smt-lib/QF_UF/SEQ/SEQ038_size7.smt2, 0.010, 2.783, Proofterm: 15.040, 837
../smt-lib/QF_UF/SEQ/SEQ011_size3.smt2, 0.019, 5.243, Proofterm: 31.836, 1422
../smt-lib/QF_UF/SEQ/SEQ013_size5.smt2, 0.009, 7.175, Proofterm: 62.671, 8402
../smt-lib/QF_UF/SEQ/SEQ017_size5.smt2, 0.009, 1.889, Proofterm: 7.837, 429
../smt-lib/QF_UF/SEQ/SEQ015_size3.smt2, 0.007, 2.145, Proofterm: 14.406, 2098
../smt-lib/QF_UF/SEQ/SEQ009_size9.smt2,6.553,TIMEOUT,TIMEOUT,
../smt-lib/QF_UF/SEQ/SEQ004_size5.smt2, 0.012, 3.870, Proofterm: 25.453, 821
../smt-lib/QF_UF/SEQ/SEQ018_size6.smt2,2.221,TIMEOUT,TIMEOUT,
../smt-lib/QF_UF/SEQ/SEQ015_size2.smt2, 0.007, 0.882, Proofterm: 1.993, 73
../smt-lib/QF_UF/SEQ/SEQ038_size9.smt2, 0.013, 5.386, Proofterm: 40.878, 2208
../smt-lib/QF_UF/SEQ/SEQ050_size2.smt2, 0.012, 0.844, Proofterm: 2.087, 75
../smt-lib/QF_UF/SEQ/SEQ032_size2.smt2, 0.007, 0.598, Proofterm: 1.180, 38
../smt-lib/QF_UF/SEQ/SEQ010_size6.smt2,1.938,TIMEOUT,TIMEOUT,
../smt-lib/QF_UF/SEQ/SEQ026_size5.smt2,10.190,TIMEOUT,TIMEOUT,
../smt-lib/QF_UF/SEQ/SEQ035_size4.smt2, 0.007, 2.754, Proofterm: 17.606, 3579
../smt-lib/QF_UF/SEQ/SEQ009_size8.smt2,1.169,TIMEOUT,TIMEOUT,
../smt-lib/QF_UF/SEQ/SEQ011_size2.smt2, 0.011, 1.546, Proofterm: 6.289, 326
../smt-lib/QF_UF/SEQ/SEQ032_size3.smt2, 0.011, 1.580, Proofterm: 8.210, 885
../smt-lib/QF_UF/SEQ/SEQ009_size7.smt2, 0.008, 1.871, Proofterm: 23.421, 877
../smt-lib/QF_UF/SEQ/SEQ013_size4.smt2, 0.009, 3.048, Proofterm: 21.629, 2764
../smt-lib/QF_UF/SEQ/SEQ042_size3.smt2, 0.013, 1.793, Proofterm: 10.028, 882
../smt-lib/QF_UF/SEQ/SEQ020_size3.smt2, 0.013, 5.795, Error: ../smt-lib/QF_UF/SEQ/SEQ020_size3.smt2 , 1551
../smt-lib/QF_UF/SEQ/SEQ010_size9.smt2, 0.012, 4.938, Proofterm: 35.576, 1669
../smt-lib/QF_UF/SEQ/SEQ026_size4.smt2, 0.009, 9.480, Proofterm: 66.267, 9154
../smt-lib/QF_UF/SEQ/SEQ017_size4.smt2, 0.008, 2.138, Proofterm: 12.881, 1337
../smt-lib/QF_UF/SEQ/SEQ005_size6.smt2, 0.008, 8.554, Proofterm: 74.797, 10751
../smt-lib/QF_UF/SEQ/SEQ005_size9.smt2, 0.016, 7.423, Proofterm: 55.899, 2164
../smt-lib/QF_UF/SEQ/SEQ020_size2.smt2, 0.012, 1.706, Error: ../smt-lib/QF_UF/SEQ/SEQ020_size2.smt2 , 355
../smt-lib/QF_UF/SEQ/SEQ038_size6.smt2,4.192,TIMEOUT,TIMEOUT,
../smt-lib/QF_UF/SEQ/SEQ050_size3.smt2, 0.010, 1.509, Proofterm: 9.956, 799
../smt-lib/QF_UF/SEQ/SEQ042_size2.smt2, 0.011, 0.961, Proofterm: 2.794, 111
../smt-lib/QF_UF/SEQ/SEQ019_size5.smt2, 0.012, 1.711, Proofterm: 8.029, 507
../smt-lib/QF_UF/SEQ/SEQ018_size7.smt2, 0.009, 2.729, Proofterm: 15.458, 825
../smt-lib/QF_UF/SEQ/SEQ005_size7.smt2, 0.009, 3.593, Proofterm: 24.143, 1404
../smt-lib/QF_UF/SEQ/SEQ019_size4.smt2, 0.012, 1.642, Proofterm: 6.984, 521
../smt-lib/QF_UF/SEQ/SEQ010_size7.smt2, 0.009, 2.637, Proofterm: 15.020, 825
Total time: 158.283
2022-05-06 14:37:45
