filename,Solve,Parse,ProofTerm,Steps
../smt-lib/QF_UF/20170829-Rodin/smt6739662804326223632.smt2,0.017,0.371,Proofterm: 0.043,16
../smt-lib/QF_UF/20170829-Rodin/smt7452810379672948208.smt2,0.018,0.398,Proofterm: 0.042,16
../smt-lib/QF_UF/20170829-Rodin/smt4057580428149921510.smt2,0.012,0.358,Proofterm: 0.110,18
../smt-lib/QF_UF/20170829-Rodin/smt7665342989239969743.smt2,0.014,0.384,Proofterm: 0.026,9
../smt-lib/QF_UF/20170829-Rodin/smt1300175744189082250.smt2,0.012,0.325,Proofterm: 0.004,3
../smt-lib/QF_UF/20170829-Rodin/smt3166111930664231918.smt2,0.014,0.365,Proofterm: 0.021,8
../smt-lib/QF_UF/20170829-Rodin/smt7632939434921259240.smt2,0.013,0.407,Proofterm: 0.037,13
../smt-lib/QF_UF/20170829-Rodin/smt5832055835117075398.smt2,0.013,0.345,Proofterm: 0.004,3
../smt-lib/QF_UF/20170829-Rodin/smt5801285361354912971.smt2,0.018,0.420,Proofterm: 0.042,16
../smt-lib/QF_UF/20170829-Rodin/smt5144869669709662262.smt2,0.022,0.451,Proofterm: 0.039,11
../smt-lib/QF_UF/20170829-Rodin/smt2061505268723161891.smt2,0.017,0.456,Proofterm: 0.051,16
../smt-lib/QF_UF/20170829-Rodin/smt2325451563592377472.smt2,0.025,0.456,Proofterm: 0.171,28
../smt-lib/QF_UF/20170829-Rodin/smt3534838651727683253.smt2,0.021,0.375,Proofterm: 0.031,10
../smt-lib/QF_UF/20170829-Rodin/smt2598599073465845145.smt2,0.025,0.435,Proofterm: 0.041,13
../smt-lib/QF_UF/20170829-Rodin/smt2080745738819601301.smt2,0.022,0.454,Proofterm: 0.030,10
../smt-lib/QF_UF/20170829-Rodin/smt1468783596909311386.smt2,0.023,0.424,Proofterm: 0.016,7
../smt-lib/QF_UF/20170829-Rodin/smt2970577543992530805.smt2,0.019,0.432,Proofterm: 0.119,27
../smt-lib/QF_UF/20170829-Rodin/smt249825283571301584.smt2,0.017,0.411,Proofterm: 0.056,10
../smt-lib/QF_UF/20170829-Rodin/smt4458073420585573738.smt2,0.019,0.417,Proofterm: 0.057,10
../smt-lib/QF_UF/20170829-Rodin/smt5490086717622526120.smt2,0.019,0.493,Proofterm: 0.153,18
../smt-lib/QF_UF/PEQ/PEQ019_size6.smt2,24.075,108.446,Error: ../smt-lib/QF_UF/PEQ/PEQ019_size6.smt2 Timeout,670745
../smt-lib/QF_UF/PEQ/PEQ011_size7.smt2,99.194,PARSING ERROR (HolPy) Timeout,,
../smt-lib/QF_UF/PEQ/PEQ019_size5.smt2,1.158,8.843,Proofterm: 79.051,53515
