filename,Solve,Parse,ProofTerm,Steps
../smt-lib/QF_UFLIA/wisas/xs_5_5.smt2,7.503,1.384,Error: ../smt-lib/QF_UFLIA/wisas/xs_5_5.smt2 currently lia_generic is not supported,544
../smt-lib/QF_UFLIA/wisas/xs_6_16.smt2,0.117,1.589,Proofterm: 8.898,1383
../smt-lib/QF_UFLIA/wisas/xs_12_22.smt2,41.706,1.253,Error: ../smt-lib/QF_UFLIA/wisas/xs_12_22.smt2 currently lia_generic is not supported,6344
../smt-lib/QF_UFLIA/wisas/xs_9_19.smt2,37.073,1.210,Error: ../smt-lib/QF_UFLIA/wisas/xs_9_19.smt2 currently lia_generic is not supported,3403
../smt-lib/QF_UFLIA/wisas/xs_6_6.smt2,11.521,1.432,Error: ../smt-lib/QF_UFLIA/wisas/xs_6_6.smt2 currently lia_generic is not supported,887
../smt-lib/QF_UFLIA/wisas/xs_8_18.smt2,33.843,1.159,Error: ../smt-lib/QF_UFLIA/wisas/xs_8_18.smt2 currently lia_generic is not supported,2213
../smt-lib/QF_UFLIA/wisas/xs_7_17.smt2,32.631,0.909,Error: ../smt-lib/QF_UFLIA/wisas/xs_7_17.smt2 currently lia_generic is not supported,1293
../smt-lib/QF_UFLIA/wisas/xs_5_15.smt2,8.464,1.217,Error: ../smt-lib/QF_UFLIA/wisas/xs_5_15.smt2 currently lia_generic is not supported,544
../smt-lib/QF_UFLIA/wisas/xs_10_20.smt2,38.246,1.226,Proofterm: 9.159,3772
../smt-lib/QF_UFLIA/wisas/xs_9_14.smt2,23.918,1.148,Proofterm: 7.800,3602
../smt-lib/QF_UFLIA/wisas/xs_5_10.smt2,7.387,1.412,Error: ../smt-lib/QF_UFLIA/wisas/xs_5_10.smt2 currently lia_generic is not supported,544
../smt-lib/QF_UFLIA/wisas/xs_6_11.smt2,3.204,1.644,Error: ../smt-lib/QF_UFLIA/wisas/xs_6_11.smt2 currently lia_generic is not supported,1431
../smt-lib/QF_UFLIA/wisas/xs_7_12.smt2,6.064,1.832,Proofterm: 7.629,1133
../smt-lib/QF_UFLIA/wisas/xs_8_13.smt2,49.651,1.048,Error: ../smt-lib/QF_UFLIA/wisas/xs_8_13.smt2 currently lia_generic is not supported,2312
../smt-lib/QF_UFLIA/TwoSquares/smtlib.602033.smt2,0.066,0.339,Proofterm: 0.107,11
../smt-lib/QF_UFLIA/TwoSquares/smtlib.675451.smt2,0.039,0.419,Proofterm: 0.261,33
../smt-lib/QF_UFLIA/TwoSquares/smtlib.666105.smt2,0.076,0.354,Proofterm: 0.182,18
../smt-lib/QF_UFLIA/TwoSquares/smtlib.686126.smt2,0.039,0.417,Proofterm: 0.458,43
../smt-lib/QF_UFLIA/TwoSquares/smtlib.606691.smt2,0.039,0.344,Proofterm: 0.109,11
../smt-lib/QF_UFLIA/TwoSquares/smtlib.675482.smt2,0.047,0.392,Proofterm: 0.235,33
../smt-lib/QF_UFLIA/TwoSquares/smtlib.686091.smt2,0.065,0.398,Proofterm: 0.421,36
../smt-lib/QF_UFLIA/TwoSquares/smtlib.769286.smt2,0.047,0.422,Proofterm: 0.550,38
../smt-lib/QF_UFLIA/TwoSquares/smtlib.686056.smt2,0.034,0.386,Proofterm: 0.452,36
../smt-lib/QF_UFLIA/TwoSquares/smtlib.602059.smt2,0.031,0.401,Proofterm: 0.135,16
../smt-lib/QF_UFLIA/TwoSquares/smtlib.675513.smt2,0.037,0.400,Proofterm: 0.259,39
../smt-lib/QF_UFLIA/TwoSquares/smtlib.602046.smt2,0.032,0.341,Proofterm: 0.109,11
../smt-lib/QF_UFLIA/TwoSquares/smtlib.606709.smt2,0.063,0.333,Proofterm: 0.104,11
../smt-lib/QF_UFLIA/TwoSquares/smtlib.666078.smt2,0.040,0.361,Proofterm: 0.153,18
../smt-lib/QF_UFLIA/TwoSquares/smtlib.606727.smt2,0.035,0.427,Proofterm: 0.146,16
../smt-lib/QF_UFLIA/TwoSquares/smtlib.666132.smt2,0.036,0.426,Proofterm: 0.216,31
../smt-lib/QF_UFLIA/mathsat/Hash/hash_uns_04_20.smt2,0.074,2.105,Proofterm: 10.557,1927
../smt-lib/QF_UFLIA/mathsat/Hash/hash_uns_04_16.smt2,0.065,1.984,Proofterm: 8.177,1559
../smt-lib/QF_UFLIA/mathsat/Hash/hash_uns_05_20.smt2,0.127,2.414,Proofterm: 17.335,3003
../smt-lib/QF_UFLIA/mathsat/Hash/hash_uns_03_03.smt2,0.046,0.955,Proofterm: 1.301,227
