filename,Solve,Parse,ProofTerm,Steps
../smt-lib/../smt-lib/QF_UFLRA/FFT/smtlib.624882.smt2,0.031,0.453,Proofterm: 0.079,15
../smt-lib/../smt-lib/QF_UFLRA/FFT/smtlib.626179.smt2,0.037,0.346,Proofterm: 0.120,16
../smt-lib/../smt-lib/QF_UFLRA/FFT/smtlib.624916.smt2,0.022,0.402,Proofterm: 0.121,23
../smt-lib/../smt-lib/QF_UFLRA/FFT/smtlib.626159.smt2,0.032,0.315,Proofterm: 0.059,4
../smt-lib/../smt-lib/QF_UFLRA/FFT/smtlib.626139.smt2,0.027,0.322,Proofterm: 0.060,4
../smt-lib/../smt-lib/QF_UFLRA/FFT/smtlib.624898.smt2,0.019,0.375,Proofterm: 0.069,15
../smt-lib/../smt-lib/QF_UFLRA/mathsat/RandomCoupled/pb_real_20_0600_10_27.smt2,0.253,5.072,Proofterm: 53.713,6654
../smt-lib/../smt-lib/QF_UFLRA/mathsat/RandomCoupled/pb_real_30_0750_10_22.smt2,0.473,7.708,Proofterm: 117.377,11132
../smt-lib/../smt-lib/QF_UFLRA/mathsat/RandomCoupled/pb_real_20_0500_10_21.smt2,0.232,4.528,Proofterm: 43.047,5746
../smt-lib/../smt-lib/QF_UFLRA/mathsat/RandomCoupled/pb_real_20_0500_10_28.smt2,0.195,4.254,Proofterm: 42.635,5649
../smt-lib/../smt-lib/QF_UFLRA/mathsat/RandomCoupled/pb_real_10_0200_10_26.smt2,0.080,2.609,Proofterm: 9.480,2213
../smt-lib/../smt-lib/QF_UFLRA/mathsat/RandomCoupled/pb_real_30_0900_10_25.smt2,0.525,8.597,Proofterm: 157.598,12894
../smt-lib/../smt-lib/QF_UFLRA/mathsat/RandomCoupled/pb_real_20_0600_10_22.smt2,0.241,4.847,Proofterm: 53.276,7189
../smt-lib/../smt-lib/QF_UFLRA/mathsat/RandomCoupled/pb_real_40_0800_10_13.smt2,0.785,10.735,Proofterm: 201.653,12823
../smt-lib/../smt-lib/QF_UFLRA/mathsat/RandomCoupled/pb_real_10_0300_10_22.smt2,0.121,3.135,Proofterm: 14.345,2893
../smt-lib/../smt-lib/QF_UFLRA/mathsat/RandomCoupled/pb_real_40_0800_10_18.smt2,1.866,13.560,Error: ../smt-lib/../smt-lib/QF_UFLRA/mathsat/RandomCoupled/pb_real_40_0800_10_18.smt2 Timeout,21682
