filename,Solve,Parse,ProofTerm,Steps
../smt-lib/AUFLIA/misc/set1.smt2,0.229,2.328,6.553,538
../smt-lib/AUFLIA/20170829-Rodin/smt1084163731047178755.smt2,76.040,1.825,1.666,208
../smt-lib/AUFLIA/20170829-Rodin/smt9125501811417761215.smt2,0.048,2.699,6.359,778
../smt-lib/AUFLIA/20170829-Rodin/smt5414835615964332598.smt2,0.381,3.072,5.178,817
../smt-lib/AUFLIA/20170829-Rodin/smt147642301581579861.smt2,0.033,1.830,3.195,278
../smt-lib/AUFLIA/20170829-Rodin/smt4762333614958780116.smt2,0.060,2.065,4.458,398
../smt-lib/AUFLIA/20170829-Rodin/smt8281563809492412516.smt2,0.038,2.206,7.863,557
../smt-lib/AUFLIA/20170829-Rodin/smt7895789018591855455.smt2,0.094,3.539,11.715,1595
../smt-lib/AUFLIA/20170829-Rodin/smt6912321247713328584.smt2,0.049,1.867,2.545,292
../smt-lib/AUFLIA/20170829-Rodin/smt7573091082348233166.smt2,0.046,0.411,0.023,5
../smt-lib/AUFLIA/20170829-Rodin/smt8980454947450722777.smt2,0.038,1.689,1.853,269
../smt-lib/AUFLIA/20170829-Rodin/smt2885702086782097441.smt2,0.065,1.468,1.433,184
../smt-lib/AUFLIA/20170829-Rodin/smt679261307761114067.smt2,0.037,1.206,2.209,157
../smt-lib/AUFLIA/20170829-Rodin/smt4761246044797670483.smt2,0.048,1.550,2.765,211
../smt-lib/AUFLIA/20170829-Rodin/smt4543254125557905716.smt2,0.038,1.568,2.810,211
../smt-lib/AUFLIA/20170829-Rodin/smt2587996156031646983.smt2,0.025,0.432,0.339,11
../smt-lib/AUFLIA/20170829-Rodin/smt4707607557951181539.smt2,0.056,2.202,6.342,627
../smt-lib/AUFLIA/20170829-Rodin/smt6759390604070337018.smt2,0.169,4.260,15.219,2592
../smt-lib/AUFLIA/20170829-Rodin/smt6831097510710125491.smt2,0.197,1.437,2.111,131
../smt-lib/AUFLIA/20170829-Rodin/smt3625179650532359977.smt2,0.031,1.707,1.654,228
../smt-lib/AUFLIA/20170829-Rodin/smt999675148899312327.smt2,0.049,1.481,1.896,196
../smt-lib/AUFLIA/20170829-Rodin/smt3579527944100321067.smt2,0.043,1.438,2.709,184
../smt-lib/AUFLIA/20170829-Rodin/smt3398192915283387125.smt2,0.036,0.452,0.289,37
../smt-lib/AUFLIA/20170829-Rodin/smt6213353790401928911.smt2,0.061,2.875,9.299,978
../smt-lib/AUFLIA/20170829-Rodin/smt6795615660770020277.smt2,0.051,2.098,4.033,436
