filename,Solve,Parse,ProofTerm,Steps
../smt-lib/AUFLIA/misc/set1.smt2,0.289,2.175,6.746,538
../smt-lib/AUFLIA/20170829-Rodin/smt1084163731047178755.smt2,103.364,2.682,1.534,208
../smt-lib/AUFLIA/20170829-Rodin/smt9125501811417761215.smt2,0.113,2.443,4.049,778
../smt-lib/AUFLIA/20170829-Rodin/smt5414835615964332598.smt2,0.410,2.785,3.450,817
../smt-lib/AUFLIA/20170829-Rodin/smt147642301581579861.smt2,0.091,1.613,1.797,278
../smt-lib/AUFLIA/20170829-Rodin/smt4762333614958780116.smt2,0.110,1.783,2.430,398
../smt-lib/AUFLIA/20170829-Rodin/smt8281563809492412516.smt2,0.088,2.026,4.760,557
../smt-lib/AUFLIA/20170829-Rodin/smt7895789018591855455.smt2,0.137,3.402,6.952,1595
../smt-lib/AUFLIA/20170829-Rodin/smt6912321247713328584.smt2,0.092,1.636,1.400,292
../smt-lib/AUFLIA/20170829-Rodin/smt7573091082348233166.smt2,0.089,0.385,0.011,5
../smt-lib/AUFLIA/20170829-Rodin/smt8980454947450722777.smt2,0.080,1.424,1.036,269
../smt-lib/AUFLIA/20170829-Rodin/smt2885702086782097441.smt2,0.104,0.967,1.117,184
../smt-lib/AUFLIA/20170829-Rodin/smt679261307761114067.smt2,0.077,0.702,1.669,157
../smt-lib/AUFLIA/20170829-Rodin/smt4761246044797670483.smt2,0.090,1.302,1.738,211
../smt-lib/AUFLIA/20170829-Rodin/smt4543254125557905716.smt2,0.073,1.115,1.817,211
../smt-lib/AUFLIA/20170829-Rodin/smt2587996156031646983.smt2,0.062,0.410,0.107,11
../smt-lib/AUFLIA/20170829-Rodin/smt4707607557951181539.smt2,0.175,2.074,3.797,627
../smt-lib/AUFLIA/20170829-Rodin/smt6759390604070337018.smt2,0.296,4.142,11.578,2592
../smt-lib/AUFLIA/20170829-Rodin/smt6831097510710125491.smt2,0.378,0.856,1.976,131
../smt-lib/AUFLIA/20170829-Rodin/smt3625179650532359977.smt2,0.153,1.409,0.930,228
../smt-lib/AUFLIA/20170829-Rodin/smt999675148899312327.smt2,0.214,1.381,1.297,196
../smt-lib/AUFLIA/20170829-Rodin/smt3579527944100321067.smt2,0.209,1.313,1.645,184
../smt-lib/AUFLIA/20170829-Rodin/smt3398192915283387125.smt2,0.198,0.432,0.123,37
../smt-lib/AUFLIA/20170829-Rodin/smt6213353790401928911.smt2,0.222,2.828,6.383,978
../smt-lib/AUFLIA/20170829-Rodin/smt6795615660770020277.smt2,0.204,2.056,2.076,436
../smt-lib/AUFLIA/20170829-Rodin/smt6243861642789142844.smt2,0.186,0.525,1.140,181
../smt-lib/AUFLIA/20170829-Rodin/smt3111130712481826321.smt2,0.193,1.984,3.607,340
../smt-lib/AUFLIA/20170829-Rodin/smt7318993399480833991.smt2,0.187,2.033,3.722,437
../smt-lib/AUFLIA/20170829-Rodin/smt5276451098567073685.smt2,0.263,0.810,1.242,115
../smt-lib/AUFLIA/20170829-Rodin/smt6494793641994132116.smt2,0.189,2.246,3.879,507
../smt-lib/AUFLIA/20170829-Rodin/smt1067221439858864710.smt2,0.188,1.086,2.355,176
../smt-lib/AUFLIA/20170829-Rodin/smt2028431836009354057.smt2,0.175,0.407,0.047,24
../smt-lib/AUFLIA/20170829-Rodin/smt7167897106314245174.smt2,0.212,2.925,4.877,1073
../smt-lib/AUFLIA/20170829-Rodin/smt6778019775420014465.smt2,0.176,1.023,1.133,189
../smt-lib/AUFLIA/20170829-Rodin/smt8271699344477471898.smt2,0.186,2.470,4.044,686
../smt-lib/AUFLIA/20170829-Rodin/smt15958711530164407.smt2,0.175,0.909,1.475,204
../smt-lib/AUFLIA/20170829-Rodin/smt5685105500145984710.smt2,0.311,2.559,3.412,670
../smt-lib/AUFLIA/20170829-Rodin/smt9117518372948303191.smt2,0.175,0.919,1.687,146
../smt-lib/AUFLIA/20170829-Rodin/smt1938006077979559801.smt2,0.176,0.429,0.248,23
../smt-lib/AUFLIA/20170829-Rodin/smt4767614291706209016.smt2,0.170,0.409,0.094,16
../smt-lib/AUFLIA/20170829-Rodin/smt4310888569041237574.smt2,11.890,5.334,13.153,2543
../smt-lib/AUFLIA/20170829-Rodin/smt3759456331826728595.smt2,0.164,0.565,0.664,69
../smt-lib/AUFLIA/20170829-Rodin/smt6582084939007828.smt2,0.198,2.930,5.514,1009
../smt-lib/AUFLIA/20170829-Rodin/smt4395038952346533059.smt2,0.166,1.510,1.307,239
../smt-lib/AUFLIA/20170829-Rodin/smt6971267712180855959.smt2,0.159,0.462,0.268,35
../smt-lib/AUFLIA/20170829-Rodin/smt8425816376318890471.smt2,0.194,1.527,2.334,207
../smt-lib/AUFLIA/20170829-Rodin/smt7430161103589433024.smt2,0.165,2.144,4.283,702
../smt-lib/AUFLIA/20170829-Rodin/smt7898413264350582909.smt2,0.220,2.130,2.601,462
../smt-lib/AUFLIA/20170829-Rodin/smt8113438910441120883.smt2,0.204,1.959,2.458,342
../smt-lib/AUFLIA/20170829-Rodin/smt6627100461755092404.smt2,0.211,2.704,3.529,851
../smt-lib/AUFLIA/20170829-Rodin/smt5008950242908012874.smt2,0.171,0.373,0.063,11
../smt-lib/AUFLIA/20170829-Rodin/smt7855789515762766802.smt2,0.291,3.525,6.867,1133
../smt-lib/AUFLIA/20170829-Rodin/smt2879621954064469259.smt2,0.236,1.654,1.417,259
../smt-lib/AUFLIA/20170829-Rodin/smt8397081929538995814.smt2,0.256,1.876,3.618,245
../smt-lib/AUFLIA/20170829-Rodin/smt3779937699978846193.smt2,0.264,3.457,6.125,1009
../smt-lib/AUFLIA/20170829-Rodin/smt5081048436682706951.smt2,0.160,1.979,3.168,371
../smt-lib/AUFLIA/20170829-Rodin/smt6739123593344712706.smt2,0.155,0.465,1.444,60
../smt-lib/AUFLIA/20170829-Rodin/smt1032124330408667615.smt2,0.177,0.373,0.052,11
../smt-lib/AUFLIA/20170829-Rodin/smt8931596844789015820.smt2,0.167,1.176,1.165,186
../smt-lib/AUFLIA/20170829-Rodin/smt531751793053958769.smt2,0.171,0.501,0.710,50
../smt-lib/AUFLIA/20170829-Rodin/smt7245409914863952227.smt2,0.129,2.270,2.532,586
../smt-lib/AUFLIA/20170829-Rodin/smt8865956595536504355.smt2,0.144,0.406,0.067,11
../smt-lib/AUFLIA/20170829-Rodin/smt6884874971925634308.smt2,0.157,1.439,1.873,230
../smt-lib/AUFLIA/20170829-Rodin/smt5535024441001047054.smt2,0.147,1.130,1.806,177
../smt-lib/AUFLIA/20170829-Rodin/smt1216202956579864973.smt2,0.143,0.927,1.260,154
../smt-lib/AUFLIA/20170829-Rodin/smt962592699688307113.smt2,0.117,0.594,1.092,69
../smt-lib/AUFLIA/20170829-Rodin/smt7127807059490977370.smt2,0.140,0.415,0.064,9
../smt-lib/AUFLIA/20170829-Rodin/smt3605672765792013082.smt2,3.196,2.210,9.264,1196
../smt-lib/AUFLIA/20170829-Rodin/smt2588978186370965894.smt2,0.475,3.416,8.944,2403
../smt-lib/AUFLIA/20170829-Rodin/smt3154552329626202329.smt2,0.109,1.311,0.809,186
../smt-lib/AUFLIA/20170829-Rodin/smt1857914508354494859.smt2,8.896,9.901,90.003,3140
../smt-lib/AUFLIA/20170829-Rodin/smt1768596582840751760.smt2,0.285,2.947,3.556,1015
../smt-lib/AUFLIA/20170829-Rodin/smt1628477078675651658.smt2,0.120,2.251,2.363,527
../smt-lib/AUFLIA/20170829-Rodin/smt6697114415872057775.smt2,0.095,0.369,0.102,6
../smt-lib/AUFLIA/20170829-Rodin/smt2204639994471250572.smt2,0.128,0.448,0.584,52
../smt-lib/AUFLIA/20170829-Rodin/smt4041167648919500798.smt2,6.326,2.534,3.934,936
../smt-lib/AUFLIA/20170829-Rodin/smt2968112963950155083.smt2,0.121,2.349,1.724,523
../smt-lib/AUFLIA/20170829-Rodin/smt6225067006144487894.smt2,0.215,2.710,4.415,787
../smt-lib/AUFLIA/20170829-Rodin/smt6458810512919238065.smt2,0.114,1.884,1.747,292
../smt-lib/AUFLIA/20170829-Rodin/smt4327343499798430515.smt2,0.105,0.408,0.091,5
../smt-lib/AUFLIA/20170829-Rodin/smt8717691583715745137.smt2,0.107,0.907,1.876,171
../smt-lib/AUFLIA/20170829-Rodin/smt6847120539390537892.smt2,0.115,2.152,2.343,440
../smt-lib/AUFLIA/20170829-Rodin/smt3377599287556543854.smt2,0.184,3.015,5.107,989
../smt-lib/AUFLIA/20170829-Rodin/smt8165829973752232184.smt2,0.115,0.389,0.058,10
../smt-lib/AUFLIA/20170829-Rodin/smt2813909872176534744.smt2,0.108,0.697,1.133,86
../smt-lib/AUFLIA/20170829-Rodin/smt1769654584429525997.smt2,0.103,2.520,3.819,603
../smt-lib/AUFLIA/20170829-Rodin/smt883595953893691400.smt2,0.097,0.789,1.187,114
../smt-lib/AUFLIA/20170829-Rodin/smt2213284030338512242.smt2,1.648,2.322,2.229,461
../smt-lib/AUFLIA/20170829-Rodin/smt511748954890879478.smt2,0.109,2.494,3.683,691
../smt-lib/AUFLIA/20170829-Rodin/smt5354277719765824768.smt2,0.136,1.536,1.304,197
../smt-lib/AUFLIA/20170829-Rodin/smt3793100985651008744.smt2,0.087,0.266,0.101,20
../smt-lib/AUFLIA/20170829-Rodin/smt2908233852339305464.smt2,0.221,0.476,0.047,13
../smt-lib/AUFLIA/20170829-Rodin/smt7445538880883974443.smt2,0.185,2.462,1.752,351
