filename,Solve,Parse,ProofTerm,Steps
../smt-lib/UF/misc/set18.smt2,0.078,15.411,Proofterm: 13.028,187
../smt-lib/UF/misc/list1.smt2,0.087,14.161,Proofterm: 15.168,138
../smt-lib/UF/misc/set20.smt2,0.085,21.789,Proofterm: 18.025,339
../smt-lib/UF/misc/set15.smt2,0.078,12.329,Proofterm: 7.438,139
../smt-lib/UF/misc/set4.smt2,0.085,7.000,Proofterm: 0.342,7
../smt-lib/UF/misc/set11.smt2,0.065,12.386,Proofterm: 5.843,133
../smt-lib/UF/misc/set8.smt2,0.078,16.159,Proofterm: 11.918,231
../smt-lib/UF/misc/set13.smt2,0.115,16.297,Proofterm: 16.073,269
../smt-lib/UF/misc/set12.smt2,0.083,17.716,Proofterm: 15.457,269
../smt-lib/UF/misc/set10.smt2,0.100,13.096,Proofterm: 8.640,185
../smt-lib/UF/misc/set17.smt2,0.070,19.768,Proofterm: 16.498,352
../smt-lib/UF/misc/set6.smt2,0.085,18.650,Proofterm: 19.858,361
../smt-lib/UF/misc/set5.smt2,0.094,12.207,Proofterm: 5.449,133
../smt-lib/UF/misc/set7.smt2,0.081,14.299,Proofterm: 9.604,231
../smt-lib/UF/sledgehammer/TypeSafe/uf.1412239.smt2,1.510,5.681,Proofterm: 3.432,73
../smt-lib/UF/sledgehammer/TypeSafe/smtlib.628981.smt2,0.970,9.012,Proofterm: 12.662,184
../smt-lib/UF/sledgehammer/TypeSafe/uf.1104973.smt2,0.667,3.852,Proofterm: 0.235,3
../smt-lib/UF/sledgehammer/TypeSafe/uf.1158000.smt2,0.785,2.924,Proofterm: 0.108,3
../smt-lib/UF/sledgehammer/TypeSafe/smtlib.611434.smt2,0.431,7.000,Proofterm: 8.354,122
../smt-lib/UF/sledgehammer/TypeSafe/smtlib.688516.smt2,1.056,3.316,Proofterm: 0.084,3
../smt-lib/UF/sledgehammer/TypeSafe/uf.958290.smt2,1.049,4.809,Proofterm: 5.285,73
../smt-lib/UF/sledgehammer/TypeSafe/smtlib.608053.smt2,0.544,4.987,Proofterm: 2.619,62
