filename,Solve,Parse,ProofTerm,Steps
../smt-lib/UFLIA/misc/list5.smt2,0.148,16.985,Proofterm: 24.441,172
../smt-lib/UFLIA/misc/arr1.smt2,0.061,26.763,Proofterm: 41.853,441
../smt-lib/UFLIA/misc/list3.smt2,0.049,9.591,Proofterm: 7.123,106
../smt-lib/UFLIA/simplify2/small_suite/toString.smt2,2.028,29.896,Proofterm: 77.050,773
../smt-lib/UFLIA/simplify2/small_suite/getRootInterface.smt2,5.394,52.840,Error: ../smt-lib/UFLIA/simplify2/small_suite/getRootInterface.smt2 Timeout,7635
../smt-lib/UFLIA/simplify2/small_suite/visitTryCatchStmt.smt2,0.682,41.353,Proofterm: 121.735,2844
../smt-lib/UFLIA/simplify2/small_suite/isCharType.smt2,1.831,24.342,Proofterm: 57.646,486
../smt-lib/UFLIA/simplify2/small_suite/checkTypeDeclOfSig.smt2,9.911,75.190,Error: ../smt-lib/UFLIA/simplify2/small_suite/checkTypeDeclOfSig.smt2 Timeout,15849
../smt-lib/UFLIA/simplify2/small_suite/main.smt2,0.553,46.924,Proofterm: 297.860,5019
../smt-lib/UFLIA/simplify2/small_suite/getNextPragma.smt2,18.999,59.590,Error: ../smt-lib/UFLIA/simplify2/small_suite/getNextPragma.smt2 Timeout,28984
../smt-lib/UFLIA/simplify2/small_suite/binaryNumericPromotion.smt2,1.127,30.573,Proofterm: 77.550,995
../smt-lib/UFLIA/simplify2/front_end_suite/javafe.tc.TypePrint.001.smt2,1.647,5.717,Proofterm: 0.767,18
../smt-lib/UFLIA/simplify2/front_end_suite/javafe.tc.Types.025.smt2,1.855,20.215,Proofterm: 54.274,486
../smt-lib/UFLIA/simplify2/front_end_suite/javafe.ast.Visitor.039.smt2,2.859,7.180,Proofterm: 3.217,55
../smt-lib/UFLIA/simplify2/front_end_suite/javafe.ast.ImportDeclVec.018.smt2,0.389,35.671,Proofterm: 98.523,1639
../smt-lib/UFLIA/simplify2/front_end_suite/javafe.ast.CatchClauseVec.001.smt2,2.076,41.743,Proofterm: 208.459,4400
../smt-lib/UFLIA/simplify2/front_end_suite/javafe.ast.IdentifierVec.009.smt2,2.235,34.322,Proofterm: 175.904,3830
../smt-lib/UFLIA/simplify2/front_end_suite/javafe.ast.DelegatingPrettyPrint.015.smt2,2.063,9.626,Proofterm: 11.760,132
../smt-lib/UFLIA/simplify2/front_end_suite/javafe.ast.ThrowStmt.004.smt2,1.301,16.239,Proofterm: 51.323,330
../smt-lib/UFLIA/simplify2/front_end_suite/javafe.ast.TypeName.010.smt2,1.724,23.700,Proofterm: 49.335,665
../smt-lib/UFLIA/simplify2/front_end_suite/javafe.tc.OutsideEnv.001.smt2,1.446,13.061,Proofterm: 29.553,159
../smt-lib/UFLIA/simplify2/front_end_suite/javafe.util.LocationManagerCorrelatedReader.006.smt2,1.911,33.722,Proofterm: 126.666,2268
../smt-lib/UFLIA/simplify2/front_end_suite/tohtml.Java2Html.022.smt2,0.489,10.144,Proofterm: 22.023,120
../smt-lib/UFLIA/simplify2/front_end_suite/javafe.ast.TypeName.008.smt2,2.322,46.038,Proofterm: 296.781,13708
../smt-lib/UFLIA/simplify2/front_end_suite/javafe.ast.TypeDeclElemVec.001.smt2,1.502,40.380,Proofterm: 163.188,4196
../smt-lib/UFLIA/simplify2/front_end_suite/javafe.ast.LabelStmt.007.smt2,1.237,18.521,Proofterm: 52.632,731
../smt-lib/UFLIA/simplify2/front_end_suite/javafe.tc.OutsideEnv.011.smt2,0.497,17.451,Proofterm: 35.370,327
../smt-lib/UFLIA/simplify2/front_end_suite/javafe.PrintSpec.011.smt2,0.884,16.728,Proofterm: 36.915,429
../smt-lib/UFLIA/simplify2/front_end_suite/javafe.ast.RoutineDecl.006.smt2,1.755,21.889,Proofterm: 39.697,858
../smt-lib/UFLIA/simplify2/front_end_suite/javafe.ast.ModifierPragmaVec.013.smt2,1.750,32.982,Proofterm: 100.259,2474
../smt-lib/UFLIA/simplify2/front_end_suite/javafe.ast.FieldDecl.008.smt2,1.631,23.744,Proofterm: 55.230,1028
../smt-lib/UFLIA/simplify2/front_end_suite/javafe.ast.WhileStmt.011.smt2,1.258,13.905,Proofterm: 39.019,306
../smt-lib/UFLIA/simplify2/front_end_suite/javafe.ast.IdentifierVec.011.smt2,0.778,25.200,Proofterm: 75.131,1262
../smt-lib/UFLIA/simplify2/front_end_suite/javafe.ast.ClassDecl.008.smt2,1.289,21.863,Proofterm: 50.474,810
../smt-lib/UFLIA/simplify2/front_end_suite/javafe.ast.InitBlock.010.smt2,1.219,18.357,Proofterm: 44.870,619
../smt-lib/UFLIA/simplify2/front_end_suite/javafe.util.FatalError.001.smt2,1.599,5.255,Proofterm: 3.375,57
../smt-lib/UFLIA/simplify2/front_end_suite/javafe.ast.DefaultVisitor.047.smt2,0.536,26.846,Proofterm: 90.291,2947
../smt-lib/UFLIA/simplify2/front_end_suite/javafe.ast.LabelStmt.004.smt2,0.910,16.806,Proofterm: 140.177,683
../smt-lib/UFLIA/simplify2/front_end_suite/javafe.tc.TypeSig.005.smt2,0.878,24.749,Proofterm: 58.708,1863
../smt-lib/UFLIA/simplify2/front_end_suite/javafe.ast.UnaryExpr.004.smt2,1.592,20.040,Error: ../smt-lib/UFLIA/simplify2/front_end_suite/javafe.ast.UnaryExpr.004.smt2 maximum recursion depth exceeded,1021
../smt-lib/UFLIA/simplify2/front_end_suite/javafe.ast._SpecialParserInterface.001.smt2,1.217,20.715,Proofterm: 48.627,1091
../smt-lib/UFLIA/simplify2/front_end_suite/javafe.parser.test.TestLex.022.smt2,0.540,14.314,Proofterm: 42.191,330
../smt-lib/UFLIA/simplify2/front_end_suite/javafe.ast.WhileStmt.007.smt2,1.070,18.354,Proofterm: 45.239,773
../smt-lib/UFLIA/simplify2/front_end_suite/javafe.util.SubCorrelatedReader.003.smt2,2.356,37.418,Error: ../smt-lib/UFLIA/simplify2/front_end_suite/javafe.util.SubCorrelatedReader.003.smt2 Timeout,4806
../smt-lib/UFLIA/simplify2/front_end_suite/javafe.ast.MethodInvocation.007.smt2,1.564,20.594,Proofterm: 77.468,2091
../smt-lib/UFLIA/simplify2/front_end_suite/javafe.ast.Name.006.smt2,1.539,9.277,Proofterm: 19.526,137
../smt-lib/UFLIA/simplify2/front_end_suite/javafe.tc.LookupException.001.smt2,1.051,4.973,Proofterm: 4.947,57
../smt-lib/UFLIA/simplify2/front_end_suite/javafe.test.SupertypeTest.002.smt2,1.069,4.327,Proofterm: 3.050,32
../smt-lib/UFLIA/simplify2/front_end_suite/javafe.CopyLoaded.015.smt2,0.667,24.323,Proofterm: 68.045,1462
../smt-lib/UFLIA/simplify2/front_end_suite/javafe.ast.SwitchLabel.004.smt2,1.433,13.612,Proofterm: 41.282,313
../smt-lib/UFLIA/simplify2/front_end_suite/javafe.tc.FieldDeclVec.012.smt2,1.910,28.511,Proofterm: 85.023,2063
../smt-lib/UFLIA/simplify2/front_end_suite/javafe.ast.LabelStmt.002.smt2,1.521,17.646,Proofterm: 44.626,726
../smt-lib/UFLIA/simplify2/front_end_suite/javafe.ast.EvalStmt.005.smt2,0.969,11.759,Proofterm: 35.358,326
../smt-lib/UFLIA/simplify2/front_end_suite/javafe.ast.VisitorArgResult.023.smt2,0.909,6.722,Proofterm: 7.095,101
