filename,Solve,Parse,ProofTerm,Steps
../smt-lib/UFLRA/FFT/smtlib.623474.smt2,0.019,0.218,Proofterm: 0.128,59
../smt-lib/UFLRA/FFT/smtlib.620535.smt2,0.020,0.227,Proofterm: 0.149,47
../smt-lib/UFLRA/FFT/smtlib.623531.smt2,0.016,0.221,Proofterm: 0.122,59
../smt-lib/UFLRA/FFT/smtlib.623597.smt2,0.020,0.258,Proofterm: 0.164,85
../smt-lib/UFLRA/FFT/smtlib.627531.smt2,0.018,0.282,Proofterm: 0.139,59
../smt-lib/UFLRA/FFT/smtlib.620487.smt2,0.025,0.243,Proofterm: 0.152,47
../smt-lib/UFLRA/FFT/smtlib.623417.smt2,0.022,0.285,Proofterm: 0.128,59
../smt-lib/UFLRA/FFT/smtlib.627457.smt2,0.023,0.224,Proofterm: 0.131,59
../smt-lib/UFLRA/FFT/smtlib.627605.smt2,0.022,0.218,Proofterm: 0.128,59
../smt-lib/UFLRA/FFT/smtlib.627688.smt2,0.023,0.252,Proofterm: 0.164,90
Total time: 1.234
2022-05-05 21:13:24
