filename,Solve,Parse,Eval,Steps
../smt-lib/AUFLIA/misc/set1.smt2, 0.135, 13.719, Proofterm: 15.521, 53
../smt-lib/AUFLIA/20170829-Rodin/smt1084163731047178755.smt2, 0.484, 11.972, Proofterm: 2.904, 20
../smt-lib/AUFLIA/20170829-Rodin/smt9125501811417761215.smt2,0.067,TIMEOUT,TIMEOUT,
../smt-lib/AUFLIA/20170829-Rodin/smt5414835615964332598.smt2,0.416,TIMEOUT,TIMEOUT,
../smt-lib/AUFLIA/20170829-Rodin/smt147642301581579861.smt2, 0.136, 12.308, Proofterm: 14.640, 27
../smt-lib/AUFLIA/20170829-Rodin/smt4762333614958780116.smt2,0.073,TIMEOUT,TIMEOUT,
../smt-lib/AUFLIA/20170829-Rodin/smt8281563809492412516.smt2,0.054,TIMEOUT,TIMEOUT,
../smt-lib/AUFLIA/20170829-Rodin/smt7895789018591855455.smt2,0.107,TIMEOUT,TIMEOUT,
../smt-lib/AUFLIA/20170829-Rodin/smt6912321247713328584.smt2,0.056,TIMEOUT,TIMEOUT,
../smt-lib/AUFLIA/20170829-Rodin/smt7573091082348233166.smt2, 0.426, 7.320, Proofterm: 0.010, 
../smt-lib/AUFLIA/20170829-Rodin/smt8980454947450722777.smt2, 0.221, 9.873, Proofterm: 7.797, 26
../smt-lib/AUFLIA/20170829-Rodin/smt2885702086782097441.smt2, 0.214, 11.459, Proofterm: 3.405, 18
../smt-lib/AUFLIA/20170829-Rodin/smt679261307761114067.smt2, 0.535, 6.329, Proofterm: 7.803, 15
../smt-lib/AUFLIA/20170829-Rodin/smt4761246044797670483.smt2, 0.062, 10.550, Proofterm: 11.659, 21
../smt-lib/AUFLIA/20170829-Rodin/smt4543254125557905716.smt2, 0.070, 10.756, Proofterm: 9.041, 21
../smt-lib/AUFLIA/20170829-Rodin/smt2587996156031646983.smt2, 0.016, 4.033, Proofterm: 0.740, 1
../smt-lib/AUFLIA/20170829-Rodin/smt4707607557951181539.smt2,0.091,TIMEOUT,TIMEOUT,
../smt-lib/AUFLIA/20170829-Rodin/smt6759390604070337018.smt2,0.160,TIMEOUT,TIMEOUT,
../smt-lib/AUFLIA/20170829-Rodin/smt6831097510710125491.smt2, 0.054, 3.063, Proofterm: 8.243, 13
../smt-lib/AUFLIA/20170829-Rodin/smt3625179650532359977.smt2, 0.019, 10.755, Proofterm: 7.249, 22
../smt-lib/AUFLIA/20170829-Rodin/smt999675148899312327.smt2, 0.067, 10.336, Proofterm: 8.703, 19
../smt-lib/AUFLIA/20170829-Rodin/smt3579527944100321067.smt2, 0.401, 9.010, Proofterm: 5.983, 18
../smt-lib/AUFLIA/20170829-Rodin/smt3398192915283387125.smt2, 0.336, 4.719, Proofterm: 1.142, 3
../smt-lib/AUFLIA/20170829-Rodin/smt6213353790401928911.smt2,0.096,TIMEOUT,TIMEOUT,
../smt-lib/AUFLIA/20170829-Rodin/smt6795615660770020277.smt2,0.084,TIMEOUT,TIMEOUT,
../smt-lib/AUFLIA/20170829-Rodin/smt6243861642789142844.smt2, 0.027, 6.728, Proofterm: 7.997, 18
../smt-lib/AUFLIA/20170829-Rodin/smt3111130712481826321.smt2,0.060,TIMEOUT,TIMEOUT,
../smt-lib/AUFLIA/20170829-Rodin/smt7318993399480833991.smt2,0.054,TIMEOUT,TIMEOUT,
../smt-lib/AUFLIA/20170829-Rodin/smt5276451098567073685.smt2, 0.055, 6.559, Proofterm: 5.198, 11
../smt-lib/AUFLIA/20170829-Rodin/smt6494793641994132116.smt2,0.050,TIMEOUT,TIMEOUT,
../smt-lib/AUFLIA/20170829-Rodin/smt1067221439858864710.smt2, 0.865, 9.030, Proofterm: 9.965, 17
../smt-lib/AUFLIA/20170829-Rodin/smt2028431836009354057.smt2, 0.454, 4.720, Proofterm: 0.581, 2
../smt-lib/AUFLIA/20170829-Rodin/smt7167897106314245174.smt2,0.098,TIMEOUT,TIMEOUT,
../smt-lib/AUFLIA/20170829-Rodin/smt6778019775420014465.smt2, 0.019, 5.317, Proofterm: 3.857, 18
../smt-lib/AUFLIA/20170829-Rodin/smt8271699344477471898.smt2,0.076,TIMEOUT,TIMEOUT,
